""	"corr"	"length"	"shift"
"436"	0.47	173	-50
"437"	0.94	320	-17
"438"	0.86	305	-44
"439"	0.72	358	0
"440"	0.69	256	23
"441"	0.71	393	-47
"442"	0.94	253	12
"443"	0.89	334	25
"444"	0.76	1	13
"445"	0.94	293	-11
"446"	0.83	1	-50
"447"	0.71	328	50
"448"	0.63	333	-50
"449"	0.73	367	50
"450"	0.94	312	4
"451"	0.92	269	-6
"452"	0.78	313	-22
"453"	0.68	384	22
"454"	0.97	294	14
"455"	0.55	401	0
"456"	0.35	500	0
"457"	0.55	1	-50
"458"	0.98	379	0
"459"	0.75	327	8
"460"	0.9	265	27
"461"	0.96	295	-14
"462"	0.9	216	-22
"463"	0.94	219	4
"464"	0.93	269	6
"465"	0.82	288	-1
"466"	0.84	209	-26
"467"	0.85	254	-14
"468"	0.54	339	-18
"469"	0.69	1	11
"470"	0.93	292	28
"471"	0.93	293	-3
"472"	0.84	227	-11
"473"	0.66	327	-50
"474"	0.63	162	-50
"475"	0.86	264	25
"476"	0.84	149	-23
"477"	0.61	1	-16
"478"	0.81	259	-22
"479"	0.93	264	14
"480"	0.92	247	41
"481"	0.89	271	-15
"482"	0.9	217	-20
"483"	0.93	262	14
"484"	0.73	414	0
"485"	0.58	81	50
"486"	0.69	173	48
"487"	0.75	320	-21
"488"	0.69	1	-50
"489"	0.84	318	-3
"490"	0.85	305	19
"491"	0.66	304	-38
"492"	0.87	303	-7
"493"	0.61	146	23
"494"	0.71	1	0
"495"	0.64	1	-10
"496"	0.78	148	25
"497"	0.67	390	0
"498"	0.91	292	-4
"499"	0.72	173	50
"500"	0.48	500	10
"501"	0.9	287	5
"502"	0.75	316	50
"503"	0.96	294	8
"504"	0.72	379	50
"505"	0.82	288	-2
"506"	0.84	186	-2
"507"	0.92	282	14
"508"	0.92	259	2
"509"	0.86	342	-19
"510"	0.59	74	50
"511"	0.56	384	0
"512"	0.93	237	-12
"513"	0.62	376	20
"514"	0.79	349	-18
"515"	0.7	304	7
"516"	0.83	189	-1
"517"	0.82	208	15
"518"	0.74	318	10
"519"	0.95	370	-3
"520"	0.52	1	37
"521"	0.69	390	22
"522"	0.82	219	-14
"523"	0.75	350	31
"524"	0.8	267	-13
"525"	0.63	247	31
"526"	0.94	206	10
"527"	0.78	267	33
"528"	0.84	131	-32
"529"	0.57	327	50
"530"	0.29	181	0
"531"	0.9	1	31
"532"	0.88	264	-12
"533"	0.82	230	-8
"534"	0.71	399	36
"535"	0.9	246	-15
"536"	0.97	300	1
"537"	0.92	262	6
"538"	0.64	273	22
"539"	0.74	327	10
"540"	0.92	185	4
"541"	0.85	325	-10
"542"	0.82	170	-41
"543"	0.88	279	12
"544"	0.76	273	-31
"545"	0.96	333	0
"546"	0.96	272	-24
"547"	0.86	92	-28
"548"	0.93	289	-3
"549"	0.83	263	25
"550"	0.48	1	13
"551"	0.92	293	12
"552"	0.92	260	0
"553"	0.88	348	-15
"554"	0.92	292	1
"555"	0.57	367	-19
"556"	0.75	264	0
"557"	0.59	490	0
"558"	0.78	298	-6
"559"	0.67	312	50
"560"	0.94	276	-16
"561"	0.87	266	46
"562"	0.93	272	13
"563"	0.87	295	-13
"564"	0.67	291	20
"565"	0.72	171	-4
"566"	0.83	278	11
"567"	0.86	226	21
"568"	0.82	264	-18
"569"	0.93	337	14
"570"	0.78	145	0
"571"	0.59	1	50
"572"	0.72	192	3
"573"	0.95	259	18
"574"	0.81	253	-19
"575"	0.9	283	-35
"576"	0.61	68	-50
"577"	0.65	409	-21
"578"	0.79	265	-8
"579"	0.93	282	-17
"580"	0.65	395	-16
"581"	0.94	313	21
"582"	0.93	330	-4
"583"	0.77	1	34
"584"	0.9	250	1
"585"	0.66	276	50
"586"	0.79	236	-25
"587"	0.78	248	25
"588"	0.66	404	27
"589"	0.87	338	0
"590"	0.71	392	43
"591"	0.86	166	0
"592"	0.76	305	7
"593"	0.88	346	-20
"594"	0.8	276	-25
"595"	0.7	397	36
"596"	0.69	388	29
"597"	0.96	273	6
"598"	0.66	359	-38
"599"	0.93	309	-22
"600"	0.93	244	-3
"601"	0.77	284	37
"602"	0.66	392	22
"603"	0.79	288	1
"604"	0.94	232	-5
"605"	0.91	193	-11
"606"	0.69	409	4
"607"	0.97	295	-1
"608"	0.94	231	0
"609"	0.38	180	28
"610"	0.52	1	-41
"611"	0.79	311	-50
"612"	0.9	328	-1
"613"	0.68	169	-50
"614"	0.67	232	6
"615"	0.9	258	24
"616"	0.74	364	29
"617"	0.62	499	0
"618"	0.73	370	-50
"619"	0.85	196	48
"620"	0.93	347	3
"621"	0.93	265	32
"622"	0.86	1	9
"623"	0.67	390	-25
"624"	0.53	486	22
"625"	0.94	347	7
"626"	0.93	343	-13
"627"	0.95	291	-29
"628"	0.63	115	-50
"629"	0.56	437	41
"630"	0.7	402	39
"631"	0.93	297	1
"632"	0.66	404	33
"633"	0.72	388	-25
"634"	0.63	190	-50
"635"	0.64	447	0
"636"	0.78	269	-2
"637"	0.74	369	50
"638"	0.7	363	0
"639"	0.81	1	-39
"640"	0.89	298	-25
"641"	0.87	137	26
"642"	0.67	270	-15
"643"	0.84	244	-37
"644"	0.96	270	7
"645"	0.78	477	0
"646"	0.59	305	-50
"647"	0.74	277	29
"648"	0.74	347	-50
"649"	0.9	214	1
"650"	0.95	375	0
"651"	0.88	266	-29
"652"	0.71	407	48
"653"	0.77	334	-28
"654"	0.86	292	-35
"655"	0.87	406	0
"656"	0.61	395	-10
"657"	0.83	277	-33
"658"	0.89	269	-29
"659"	0.73	259	50
"660"	0.8	262	-45
"661"	0.86	276	20
"662"	0.81	254	0
"663"	0.81	52	-30
"664"	0.69	307	-50
"665"	0.65	247	-19
"666"	0.93	284	11
"667"	0.93	306	10
"668"	0.84	361	20
"669"	0.78	163	-9
"670"	0.77	254	7
"671"	0.65	500	0
"672"	0.9	286	-7
"673"	0.81	193	-26
"674"	0.68	371	43
"675"	0.73	364	50
"676"	0.71	374	29
"677"	0.74	288	-3
"678"	0.67	1	0
"679"	0.73	294	13
"680"	0.71	254	-23
"681"	0.95	258	-2
"682"	0.82	402	0
"683"	0.72	396	50
"684"	0.61	256	50
"685"	0.96	263	-3
"686"	0.87	179	-17
"687"	0.57	1	-46
"688"	0.72	375	50
"689"	0.83	159	-5
"690"	0.79	275	-24
"691"	0.64	407	28
"692"	0.82	235	-50
"693"	0.94	254	12
"694"	0.74	136	-15
"695"	0.73	376	-29
"696"	0.93	304	16
"697"	0.63	496	0
"698"	0.94	210	0
"699"	0.7	124	1
"700"	0.7	384	-50
"701"	0.88	274	16
"702"	0.82	336	35
"703"	0.64	130	-23
"704"	0.7	364	-35
"705"	0.74	364	32
"706"	0.78	282	17
"707"	0.61	1	-45
"708"	0.67	1	-50
"709"	0.67	405	37
"710"	0.95	292	6
"711"	0.84	243	-47
"712"	0.9	269	26
"713"	0.9	224	2
"714"	0.76	13	-20
"715"	0.46	394	50
"716"	0.8	297	-45
"717"	0.98	319	1
"718"	0.93	270	12
"719"	0.75	164	-48
"720"	0.93	288	33
"721"	0.59	382	50
"722"	0.82	143	17
"723"	0.91	305	15
"724"	0.71	303	16
"725"	0.42	500	-28
"726"	0.63	338	50
"727"	0.8	250	6
"728"	0.59	417	0
"729"	0.69	226	-16
"730"	0.79	306	9
"731"	0.96	325	-14
"732"	0.75	328	50
"733"	0.73	164	-37
"734"	0.92	316	9
"735"	0.7	405	42
"736"	0.65	300	12
"737"	0.68	155	-50
"738"	0.81	328	-30
"739"	0.77	324	-50
"740"	0.49	187	-44
"741"	0.92	273	-23
"742"	0.96	302	4
"743"	0.93	277	31
"744"	0.71	187	-35
"745"	0.7	283	50
"746"	0.75	291	-30
"747"	0.65	445	0
"748"	0.72	369	-49
"749"	0.62	276	30
"750"	0.51	463	34
"751"	0.72	273	-40
"752"	0.9	317	-29
"753"	0.89	253	-5
"754"	0.87	1	-27
"755"	0.71	272	-41
"756"	0.72	257	23
"757"	0.87	304	-18
"758"	0.89	226	-17
"759"	0.9	251	18
"760"	0.88	150	-3
"761"	0.51	1	43
"762"	0.93	328	6
"763"	0.79	320	-43
"764"	0.8	304	37
"765"	0.95	255	0
"766"	0.77	312	-36
"767"	0.89	362	-4
"768"	0.83	347	-21
"769"	0.75	1	50
"770"	0.82	289	34
"771"	0.57	1	5
"772"	0.65	149	-42
