""	"corr"	"length"	"shift"
"ST0171"	0.83	294	30
"ST3819"	0.85	289	16
"ST3820"	0.94	311	4
"ST0172"	0.94	310	-6
"ST3821"	0.81	300	15
"ST3822"	0.79	288	26
"ST3823"	0.85	272	0
"ST3824"	0.66	239	22
"ST0173"	0.68	378	-50
"ST3825"	0.94	319	12
"ST3826"	0.67	1	-40
"ST0174"	0.94	319	-15
"ST3827"	0.89	285	11
"ST3828"	0.83	285	12
"ST0175"	0.84	288	-24
"ST3829"	0.85	291	-48
"ST3830"	0.64	419	-31
"ST0176"	0.67	390	-29
"ST0177"	0.87	249	41
"ST0178"	0.94	259	-11
"ST3831"	0.94	329	-8
"ST0179"	0.89	320	-25
"ST3832"	0.78	296	-20
"ST3833"	0.9	277	1
"ST0180"	0.76	291	-32
"ST0181"	0.89	279	11
"ST3834"	0.9	309	3
"ST0182"	0.79	293	-47
"ST0183"	0.71	373	45
"ST0184"	0.87	279	4
"ST3835"	0.9	296	23
"ST0185"	0.89	295	-26
"ST0186"	0.9	171	-1
"ST3836"	0.68	280	-50
"ST3837"	0.58	351	-12
"ST0187"	0.74	1	-32
"ST3838"	0.75	368	-10
"ST0188"	0.6	418	-30
"ST0189"	0.9	244	34
"ST3839"	0.91	279	32
"ST3840"	0.93	258	1
"ST0190"	0.91	262	26
"ST3841"	0.9	268	23
"ST3842"	0.66	241	11
"ST0191"	0.87	266	-49
"ST0192"	0.79	69	45
"ST0193"	0.9	281	26
"ST0194"	0.86	264	17
"ST0195"	0.61	1	-42
"ST3843"	0.75	182	-4
"ST0196"	0.67	431	0
"ST0197"	0.86	258	13
"ST3844"	0.87	296	5
"ST0198"	0.86	300	-26
"ST3845"	0.89	255	28
"ST3846"	0.78	184	-50
"ST0199"	0.89	255	-23
"ST0200"	0.48	196	50
"ST3847"	0.78	291	-50
"ST3848"	0.89	291	6
"ST0201"	0.86	365	0
"ST0202"	0.89	291	7
"ST3849"	0.75	280	14
"ST3850"	0.85	258	10
"ST0203"	0.85	260	9
"ST0204"	0.96	231	-4
"ST3851"	0.68	400	-38
"ST3852"	0.86	316	-1
"ST3853"	0.79	336	0
"ST3854"	0.66	408	-24
"ST3855"	0.65	220	0
"ST0205"	0.38	500	0
"ST0206"	0.68	247	9
"ST3856"	0.91	256	28
"ST3857"	0.8	305	-43
"ST3858"	0.85	15	-50
"ST0207"	0.89	329	-27
"ST3859"	0.76	370	-33
"ST0208"	0.75	380	-29
"ST0209"	0.6	418	-23
"ST0210"	0.83	216	45
"ST3860"	0.71	219	50
"ST0211"	0.88	219	24
"ST3861"	0.79	257	30
"ST3862"	0.51	478	-24
"ST0212"	0.51	424	-14
"ST3863"	0.88	279	17
"ST3864"	0.83	337	4
"ST0213"	0.83	338	-23
"ST0214"	0.95	281	-21
"ST0215"	0.83	271	12
"ST3865"	0.69	454	0
"ST0216"	0.69	395	-42
"ST0217"	0.72	380	-31
"ST0218"	0.55	327	-50
"ST3866"	0.87	257	19
"ST0219"	0.87	258	26
"ST0220"	0.91	285	19
"ST3867"	0.74	355	35
"ST0221"	0.61	330	-50
"ST3868"	0.92	314	-11
"ST0222"	0.92	312	-2
"ST0223"	0.93	291	28
"ST0224"	0.93	306	2
"ST0225"	0.68	269	24
"ST3869"	0.87	234	36
"ST0226"	0.6	1	18
"ST0227"	0.88	233	24
"ST3870"	0.8	56	50
"ST3871"	0.92	273	33
"ST0228"	0.68	331	-50
"ST3872"	0.92	303	15
"ST3873"	0.93	253	1
"ST3874"	0.88	247	38
"ST0229"	0.91	243	5
"ST3875"	0.67	225	50
"ST0230"	0.88	215	28
"ST3876"	0.91	295	-2
"ST3877"	0.81	349	-15
"ST0231"	0.79	348	28
"ST3878"	0.73	357	-50
"ST3879"	0.86	274	43
"ST0232"	0.71	365	-50
"ST0233"	0.87	272	10
"ST0234"	0.89	254	31
"ST3880"	0.93	278	19
"ST0235"	0.93	275	2
"ST3881"	0.89	274	10
"ST0236"	0.9	272	2
"ST3882"	0.56	87	50
"ST0237"	0.63	364	-4
"ST3883"	0.82	479	0
"ST0238"	0.53	209	-25
"ST3884"	0.76	1	18
"ST3885"	0.49	1	-24
"ST3886"	0.78	287	-25
"ST0239"	0.8	295	-20
"ST3887"	0.86	254	46
"ST0240"	0.85	253	-33
"ST0241"	0.72	363	-28
"ST3888"	0.93	243	12
"ST0242"	0.92	245	23
"ST3889"	0.93	269	0
"ST0243"	0.92	271	11
"ST3890"	0.94	298	8
"ST3891"	0.79	310	-49
"ST0244"	0.8	310	46
"ST3892"	0.91	250	26
"ST0245"	0.91	252	35
"ST0246"	0.9	254	33
"ST0247"	0.87	264	0
"ST3893"	0.87	247	44
"ST0248"	0.86	244	50
"ST3894"	0.9	246	31
"ST3895"	0.78	297	13
"ST0249"	0.88	270	14
"ST3896"	0.89	257	47
"ST0250"	0.92	257	12
"ST3897"	0.86	246	29
"ST3898"	0.73	199	50
"ST0251"	0.9	242	0
"ST3899"	0.83	249	26
"ST0252"	0.87	1	-50
"ST3900"	0.87	258	46
"ST0253"	0.85	253	25
"ST0254"	0.91	229	17
"ST0255"	0.79	269	29
"ST0256"	0.83	254	34
"ST3901"	0.75	267	17
"ST3902"	0.59	1	-42
"ST0257"	0.93	243	13
"ST3903"	0.9	228	42
"ST3904"	0.93	253	33
"ST0258"	0.93	250	20
"ST3905"	0.8	252	45
"ST3906"	0.76	225	50
"ST0259"	0.89	218	33
"ST0260"	0.72	378	-40
"ST3907"	0.9	256	0
"ST3908"	0.84	256	36
"ST0261"	0.7	262	3
"ST3909"	0.94	342	-15
"ST0262"	0.8	321	-50
"ST0263"	0.88	260	6
"ST0264"	0.9	257	31
"ST0265"	0.91	316	15
"ST3910"	0.87	256	45
"ST0266"	0.89	258	31
"ST0267"	0.92	278	24
"ST3911"	0.89	253	-6
"ST3912"	0.83	342	-5
"ST0268"	0.87	226	26
"ST0269"	0.91	190	2
"ST3913"	0.91	303	5
"ST0270"	0.91	304	-25
"ST3914"	0.91	262	-16
"ST0271"	0.92	259	4
"ST3915"	0.55	439	-1
"ST3916"	0.77	180	50
"ST0272"	0.41	1	-6
"ST3917"	0.7	1	-32
"ST0273"	0.93	320	-16
"ST3918"	0.93	315	-10
"ST3919"	0.72	339	-50
"ST0274"	0.79	379	-12
"ST3920"	0.86	249	41
"ST3921"	0.89	249	50
"ST0275"	0.9	248	18
"ST3922"	0.88	256	40
"ST0276"	0.89	260	37
"ST3923"	0.83	229	50
"ST3924"	0.77	206	32
"ST0277"	0.69	220	50
"ST3925"	0.85	326	3
"ST3926"	0.68	317	-50
"ST3927"	0.91	289	-19
"ST0278"	0.88	284	-24
"ST3928"	0.86	241	50
"ST0279"	0.86	242	34
"ST3929"	0.9	260	19
"ST0280"	0.93	258	0
"ST0281"	0.6	1	-50
"ST3930"	0.79	279	44
"ST0282"	0.8	187	-50
"ST3931"	0.85	237	19
"ST3932"	0.9	287	-1
"ST3933"	0.88	276	-2
"ST3934"	0.68	281	18
"ST0283"	0.71	297	50
"ST0284"	0.79	318	-7
"ST0285"	0.88	295	-5
"ST3935"	0.92	299	28
"ST3936"	0.88	304	-21
"ST0286"	0.9	305	3
"ST3937"	0.79	227	41
"ST0287"	0.92	258	19
"ST3938"	0.91	235	50
"ST0288"	0.91	233	35
"ST3939"	0.9	280	19
"ST3940"	0.81	269	-50
"ST3941"	0.87	231	37
"ST0289"	0.72	283	34
"ST0290"	0.85	231	50
"ST3942"	0.89	272	-42
"ST3943"	0.65	390	-35
"ST0291"	0.91	257	-8
"ST0292"	0.62	330	22
"ST3944"	0.87	264	16
"ST3945"	0.77	207	50
"ST0293"	0.82	285	-5
"ST3946"	0.87	288	-34
"ST3947"	0.89	298	28
"ST3948"	0.8	313	35
"ST3949"	0.95	274	9
"ST3950"	0.88	256	46
"ST0294"	0.95	275	-20
"ST0295"	0.52	178	50
"ST0296"	0.7	237	50
"ST3951"	0.92	273	31
"ST0297"	0.93	276	30
"ST0298"	0.89	246	34
"ST3952"	0.87	271	41
"ST0299"	0.88	272	43
"ST3953"	0.8	246	50
"ST0300"	0.47	203	50
"ST3954"	0.78	186	48
"ST0301"	0.89	253	27
"ST3955"	0.84	296	10
"ST0302"	0.84	295	-5
"ST3956"	0.69	334	-2
"ST3957"	0.9	289	-13
"ST0303"	0.87	200	20
"ST3958"	0.46	144	50
"ST3959"	0.8	1	-50
"ST0304"	0.48	331	4
"ST3960"	0.83	296	22
"ST0305"	0.82	292	-32
"ST3961"	0.71	271	-49
"ST0306"	0.74	276	25
"ST3962"	0.62	1	-23
"ST3963"	0.83	320	9
"ST0307"	0.82	313	-20
"ST3964"	0.94	175	0
"ST3965"	0.62	302	-50
"ST0308"	0.68	244	44
"ST3966"	0.8	158	-42
"ST0309"	0.69	382	-30
"ST3967"	0.84	406	-2
"ST3968"	0.65	405	-45
"ST0310"	0.81	272	15
"ST3969"	0.97	322	-12
"ST3970"	0.53	163	-33
"ST0311"	0.79	225	31
"ST3971"	0.85	282	27
"ST0312"	0.85	280	20
"ST0313"	0.55	166	-50
"ST3972"	0.6	34	50
"ST0314"	0.9	325	6
"ST3973"	0.93	285	21
"ST3974"	0.67	221	50
"ST3975"	0.37	86	-23
"ST3976"	0.88	246	36
"ST0315"	0.43	336	-50
"ST3977"	0.68	389	-46
"ST3978"	0.9	302	31
"ST3979"	0.78	267	50
"ST0316"	0.79	264	28
"ST3980"	0.8	269	0
"ST3981"	0.83	234	50
"ST0317"	0.59	1	38
"ST3982"	0.69	389	-30
"ST3983"	0.5	495	15
"ST3984"	0.86	282	9
"ST0318"	0.85	283	-36
"ST0319"	0.85	234	7
"ST0320"	0.86	335	-25
"ST0321"	0.87	333	-11
"ST3985"	0.88	350	-16
"ST0322"	0.9	355	6
"ST3986"	0.91	262	18
"ST3987"	0.91	263	9
"ST0323"	0.88	271	42
"ST0324"	0.6	202	50
"ST3988"	0.88	270	39
"ST0325"	0.87	265	31
"ST3989"	0.9	270	39
"ST0326"	0.86	265	45
"ST3990"	0.88	253	27
"ST3991"	0.91	334	9
"ST0327"	0.91	335	-4
"ST0328"	0.8	269	10
"ST0329"	0.77	1	-33
"ST0330"	0.9	303	-19
"ST3992"	0.89	242	37
"ST3993"	0.9	293	31
"ST3994"	0.88	246	34
"ST0331"	0.92	294	-11
"ST0332"	0.88	245	50
"ST3995"	0.83	329	34
"ST0333"	0.74	359	-46
"ST0334"	0.85	229	38
"ST0335"	0.68	139	13
"ST0336"	0.79	226	41
"ST3996"	0.82	354	-26
"ST0337"	0.7	369	-50
"ST3997"	0.98	330	-1
"ST0338"	0.96	326	13
"ST3998"	0.85	267	20
"ST3999"	0.77	298	7
"ST4000"	0.92	462	0
"ST0339"	0.77	300	-17
"ST0340"	0.66	406	-21
"ST4001"	0.82	240	50
"ST0341"	0.86	243	44
"ST4002"	0.85	239	50
"ST4003"	0.89	272	33
"ST0342"	0.87	270	44
"ST0343"	0.8	228	50
"ST0344"	0.88	271	4
"ST0345"	0.88	227	30
"ST4004"	0.98	500	0
"ST0346"	0.65	437	0
"ST4005"	0.75	224	50
"ST0347"	0.9	267	21
"ST0348"	0.92	268	-11
"ST4006"	0.93	287	21
"ST0349"	0.95	287	-9
"ST0350"	0.79	269	-20
"ST4007"	0.85	320	-26
"ST0351"	0.84	318	31
"ST0352"	0.89	293	-4
"ST4008"	0.88	309	2
"ST0353"	0.88	310	4
"ST0354"	0.69	177	50
"ST4009"	0.51	295	44
"ST0355"	0.71	1	-32
"ST4010"	0.75	224	0
"ST4011"	0.84	216	0
"ST0356"	0.92	279	-41
"ST4012"	0.87	275	12
"ST0357"	0.88	272	0
"ST4013"	0.75	176	-38
"ST4014"	0.9	219	19
"ST0358"	0.87	222	39
"ST4015"	0.89	307	-14
"ST0359"	0.89	307	11
"ST4016"	0.9	293	-9
"ST4017"	0.89	243	6
"ST0360"	0.89	245	12
"ST0361"	0.91	284	14
"ST4018"	0.67	412	-28
"ST0362"	0.68	409	-29
"ST0363"	0.68	344	-50
"ST4019"	0.88	288	-4
"ST0364"	0.88	289	10
"ST4020"	0.79	396	-14
"ST0365"	0.67	327	-50
"ST4021"	0.54	1	10
"ST0366"	0.86	206	40
"ST4022"	0.86	173	6
"ST4023"	0.9	252	20
"ST4024"	0.89	251	14
"ST0367"	0.89	252	24
"ST4025"	0.91	282	2
"ST4026"	0.88	278	32
"ST4027"	0.77	340	-33
"ST0368"	0.82	302	-32
"ST4028"	0.65	181	-50
"ST4029"	0.87	258	41
"ST0369"	0.85	254	43
"ST4030"	0.89	273	4
"ST0370"	0.88	276	-32
"ST0371"	0.88	174	-2
"ST4031"	0.9	348	-14
"ST0372"	0.91	348	11
"ST0373"	0.86	259	14
"ST4032"	0.92	258	-7
"ST0374"	0.91	261	30
"ST4033"	0.84	269	50
"ST0375"	0.94	292	18
"ST0376"	0.62	1	25
"ST4034"	0.8	381	-20
"ST0377"	0.76	380	-26
"ST4035"	0.85	261	9
"ST0378"	0.85	260	10
"ST4036"	0.87	260	36
"ST4037"	0.88	278	31
"ST4038"	0.89	328	-22
"ST4039"	0.91	333	-2
"ST0379"	0.9	329	-16
"ST0380"	0.9	283	4
"ST0381"	0.87	274	10
"ST4040"	0.64	49	-50
"ST0382"	0.76	345	-50
"ST0383"	0.7	391	-45
"ST4041"	0.92	294	20
"ST0384"	0.92	294	10
"ST4042"	0.92	256	36
"ST4043"	0.88	349	0
"ST0385"	0.88	353	0
"ST4044"	0.65	376	-2
"ST4045"	0.84	275	-35
"ST4046"	0.74	1	19
"ST0386"	0.41	1	20
"ST4047"	0.84	342	-23
"ST4048"	0.8	268	-49
"ST0387"	0.88	321	-32
"ST0388"	0.85	276	18
"ST0389"	0.87	285	-43
"ST4049"	0.85	221	36
"ST0390"	0.85	224	21
"ST4050"	0.88	279	32
"ST0391"	0.91	280	13
"ST4051"	0.91	277	3
"ST4052"	0.76	90	26
"ST0392"	0.9	257	33
"ST4053"	0.69	363	-50
"ST0393"	0.7	398	-44
"ST4054"	0.91	253	0
"ST0394"	0.91	272	-14
"ST4055"	0.83	245	24
"ST4056"	0.8	271	35
"ST0395"	0.83	246	-43
"ST0396"	0.81	272	35
"ST4057"	0.91	256	26
"ST0397"	0.88	238	21
