""	"corr"	"length"	"shift"
"YBR117C"	0.92	246	10
"YBR118W"	0.59	385	-36
"YBR119W"	0.86	297	-7
"YBR120C"	0.85	289	13
"YBR121C"	0.89	310	-25
"YBR122C"	0.8	299	11
"YBR123C"	0.79	283	10
"YBR125C"	0.84	275	-14
"YBR126C"	0.66	239	25
"YBR127C"	0.94	317	-6
"YBR128C"	0.89	246	21
"YBR129C"	0.89	286	17
"YBR130C"	0.84	285	7
"YBR131W"	0.84	283	0
"YBR132C"	0.95	301	-3
"YBR133C"	0.64	419	-31
"YBR135W"	0.65	394	-23
"YBR136W"	0.87	249	32
"YBR137W"	0.94	259	16
"YBR139W"	0.93	326	-14
"YBR140C"	0.78	294	15
"YBR142W"	0.89	278	4
"YBR143C"	0.9	309	-20
"YBR145W"	0.84	369	16
"YBR146W"	0.87	283	20
"YBR147W"	0.89	296	15
"YBR148W"	0.91	276	-2
"YBR149W"	0.74	304	-16
"YBR150C"	0.75	371	-20
"YBR151W"	0.63	408	-36
"YBR152W"	0.9	242	24
"YBR153W"	0.82	263	10
"YBR154C"	0.92	277	6
"YBR155W"	0.93	258	0
"YBR156C"	0.9	268	19
"YBR158W"	0.62	382	-26
"YBR159W"	0.9	280	14
"YBR160W"	0.85	264	25
"YBR161W"	0.83	327	-37
"YBR162C"	0.53	394	-12
"YBR162W-A"	0.7	245	27
"YBR163W"	0.88	258	5
"YBR164C"	0.87	296	6
"YBR165W"	0.87	297	14
"YBR166C"	0.9	254	16
"YBR167C"	0.85	191	32
"YBR168W"	0.87	207	39
"YBR169C"	0.87	328	0
"YBR170C"	0.89	292	9
"YBR171W"	0.89	291	-3
"YBR172C"	0.76	280	3
"YBR173C"	0.85	258	6
"YBR175W"	0.85	261	15
"YBR176W"	0.95	232	9
"YBR177C"	0.66	405	-31
"YBR179C"	0.83	312	-24
"YBR180W"	0.85	242	46
"YBR181C"	0.69	399	-40
"YBR182C"	0.71	400	-19
"YBR183W"	0.6	422	-26
"YBR185C"	0.91	256	24
"YBR186W"	0.78	204	45
"YBR188C"	0.81	370	-22
"YBR189W"	0.78	381	-22
"YBR191W"	0.61	415	-27
"YBR192W"	0.83	215	39
"YBR193C"	0.88	219	25
"YBR194W"	0.91	217	-6
"YBR195C"	0.79	257	31
"YBR196C"	0.52	477	-25
"YBR198C"	0.81	331	-12
"YBR199W"	0.84	338	-15
"YBR200W"	0.97	280	5
"YBR201W"	0.84	271	8
"YBR202W"	0.73	379	-24
"YBR203W"	0.58	342	-50
"YBR204C"	0.87	257	20
"YBR205W"	0.88	256	12
"YBR207W"	0.91	285	25
"YBR208C"	0.72	354	20
"YBR210W"	0.75	346	-44
"YBR211C"	0.92	314	-16
"YBR212W"	0.91	312	-11
"YBR213W"	0.94	291	12
"YBR214W"	0.92	305	-23
"YBR215W"	0.68	267	6
"YBR216C"	0.87	234	37
"YBR217W"	0.89	232	12
"YBR218C"	0.64	372	-50
"YBR221C"	0.93	304	-3
"YBR222C"	0.9	255	32
"YBR223C"	0.88	246	28
"YBR227C"	0.87	220	46
"YBR228W"	0.89	213	16
"YBR229C"	0.91	297	6
"YBR230C"	0.8	348	-24
"YBR231C"	0.87	272	11
"YBR233W"	0.87	272	9
"YBR233W-A"	0.89	253	27
"YBR234C"	0.93	275	3
"YBR236C"	0.89	275	15
"YBR237W"	0.89	274	12
"YBR238C"	0.51	374	-4
"YBR240C"	0.85	375	-15
"YBR243C"	0.85	252	23
"YBR244W"	0.75	364	-22
"YBR245C"	0.92	245	22
"YBR247C"	0.92	270	6
"YBR248C"	0.94	298	8
"YBR249C"	0.89	320	-14
"YBR250W"	0.73	216	38
"YBR251W"	0.92	251	25
"YBR252W"	0.9	251	17
"YBR253W"	0.86	266	9
"YBR254C"	0.87	246	32
"YBR255W"	0.87	242	17
"YBR256C"	0.77	296	6
"YBR257W"	0.89	269	10
"YBR258C"	0.91	259	25
"YBR260C"	0.86	246	33
"YBR261C"	0.85	192	38
"YBR262C"	0.84	248	12
"YBR263W"	0.83	248	20
"YBR264C"	0.87	256	33
"YBR265W"	0.88	251	4
"YBR267W"	0.9	230	24
"YBR268W"	0.78	265	16
"YBR272C"	0.91	228	37
"YBR273C"	0.93	251	20
"YBR274W"	0.93	250	24
"YBR275C"	0.84	247	0
"YBR276C"	0.88	223	38
"YBR278W"	0.89	218	50
"YBR279W"	0.72	377	-44
"YBR280C"	0.87	259	29
"YBR281C"	0.84	256	26
"YBR282W"	0.69	263	21
"YBR283C"	0.76	321	-50
"YBR286W"	0.91	251	3
"YBR288C"	0.89	257	22
"YBR289W"	0.89	258	24
"YBR290W"	0.93	277	9
"YBR291C"	0.87	255	30
"YBR293W"	0.9	302	13
"YBR294W"	0.92	275	-3
"YBR295W"	0.91	260	9
"YBR296C"	0.83	332	-34
"YBR297W"	0.91	318	-27
"YBR298C"	0.93	315	-8
"YBR299W"	0.93	314	1
"YCL064C"	0.74	358	-50
"YCL063W"	0.75	373	-28
"YCL061C"	0.86	246	19
"YCL059C"	0.9	249	26
"YCL058C"	0.87	254	32
"YCL058W-A"	0.91	246	10
"YCL057W"	0.89	258	24
"YCL055W"	0.69	218	45
"YCL054W"	0.91	288	8
"YCL052C"	0.87	239	17
