""	"r"	"width"	"shift"
"YBR244W"	0.72	343	4
"YBR245C"	0.88	247	47
"YBR247C"	0.9	272	32
"YBR248C"	0.91	300	32
"YBR249C"	0.86	313	12
"YBR250W"	0.73	366	-11
"YBR251W"	0.89	253	50
"YBR252W"	0.87	253	42
"YBR253W"	0.84	268	35
"YBR254C"	0.81	249	50
"YBR255W"	0.85	244	43
"YBR256C"	0.76	297	30
"YBR257W"	0.86	271	35
"YBR258C"	0.9	260	50
"YBR260C"	0.83	247	50
"YBR261C"	0.65	197	50
"YBR262C"	0.81	251	37
"YBR263W"	0.82	251	46
"YBR264C"	0.82	255	50
"YBR265W"	0.85	253	30
"YBR267W"	0.87	232	50
"YBR268W"	0.77	268	42
"YBR272C"	0.83	227	50
"YBR273C"	0.89	254	45
"YBR274W"	0.88	253	50
"YBR275C"	0.81	249	25
"YBR276C"	0.75	227	50
"YBR278W"	0.61	211	50
"YBR279W"	0.84	387	-30
"YBR280C"	0.85	258	50
"YBR281C"	0.8	261	50
"YBR282W"	0.72	435	-24
"YBR283C"	0.94	338	-38
"YBR286W"	0.87	254	29
"YBR288C"	0.88	259	47
"YBR289W"	0.87	260	50
"YBR290W"	0.9	278	34
"YBR291C"	0.83	254	50
"YBR293W"	0.87	299	38
"YBR294W"	0.9	276	20
"YBR295W"	0.89	264	35
"YBR296C"	0.92	342	-17
"YBR297W"	0.94	328	-7
"YBR298C"	0.9	309	18
"YBR299W"	0.91	312	26
"YCL064C"	0.82	366	-33
"YCL063W"	0.87	384	-16
"YCL061C"	0.86	247	45
"YCL059C"	0.89	251	50
"YCL058C"	0.82	253	50
"YCL058W-A"	0.89	249	36
"YCL057W"	0.87	260	49
"YCL055W"	0.77	427	-21
"YCL054W"	0.9	290	33
"YCL052C"	0.83	242	43
"YCL051W"	0.83	246	50
"YCL050C"	0.87	264	50
"YCL048W"	0.87	247	40
"YCL045C"	0.86	287	50
"YCL044C"	0.85	282	35
"YCL043C"	0.65	293	23
"YCL040W"	0.81	329	34
"YCL039W"	0.86	295	27
"YCL038C"	0.91	300	42
"YCL037C"	0.88	306	35
"YCL036W"	0.88	303	21
"YCL035C"	0.85	1	-31
"YCL034W"	0.89	258	35
"YCL033C"	0.66	235	50
"YCL032W"	0.89	234	50
"YCL031C"	0.89	280	29
"YCL030C"	0.85	270	49
"YCL029C"	0.7	234	50
"YCL028W"	0.74	229	50
"YCL027W"	0.86	268	25
"YCL026C-A"	0.65	436	-4
"YCL025C"	0.7	413	-50
"YCL024W"	0.89	262	40
"YCL018W"	0.56	369	-50
"YCL017C"	0.84	265	50
"YCL016C"	0.67	210	50
"YCL014W"	0.81	288	33
"YCL012C"	0.88	291	29
"YCL011C"	0.88	295	35
"YCL010C"	0.81	310	24
"YCL009C"	0.93	277	49
"YCL008C"	0.87	258	49
"YCL005W-A"	0.87	257	48
"YCL005W"	0.92	275	41
"YCL004W"	0.89	253	3
"YCL001W"	0.89	273	33
"YCR002C"	0.83	296	19
"YCR003W"	0.83	294	26
"YCR004C"	0.73	202	50
"YCR005C"	0.8	348	-26
"YCR008W"	0.71	282	37
"YCR009C"	0.83	323	15
"YCR010C"	0.86	315	49
"YCR011C"	0.68	424	-18
"YCR012W"	0.64	258	2
"YCR014C"	0.73	201	41
"YCR017C"	0.96	321	20
"YCR020C"	0.59	183	50
"YCR020C-A"	0.84	281	40
"YCR020W-B"	0.84	281	38
"YCR021C"	0.85	316	49
"YCR023C"	0.91	284	36
"YCR024C"	0.64	439	-27
"YCR024C-A"	0.37	371	-50
"YCR026C"	0.87	242	35
"YCR027C"	0.9	414	-9
"YCR028C"	0.91	305	34
"YCR028C-A"	0.78	265	50
"YCR030C"	0.8	274	9
"YCR031C"	0.8	412	-10
"YCR032W"	0.74	420	-20
"YCR033W"	0.9	335	0
"YCR034W"	0.86	323	3
"YCR035C"	0.87	340	13
"YCR036W"	0.86	341	24
"YCR037C"	0.89	262	30
"YCR042C"	0.88	267	40
"YCR044C"	0.89	271	42
"YCR045C"	0.88	240	26
"YCR046C"	0.86	255	50
"YCR047C"	0.86	323	15
"YCR048W"	0.86	323	18
"YCR052W"	0.87	258	37
"YCR053W"	0.89	300	16
"YCR054C"	0.87	243	49
"YCR057C"	0.9	294	37
"YCR059C"	0.76	249	50
"YCR060W"	0.87	245	35
"YCR063W"	0.84	228	50
"YCR065W"	0.74	401	-46
"YCR066W"	0.76	228	50
"YCR067C"	0.89	353	-17
"YCR068W"	0.78	373	-8
"YCR069W"	0.95	321	7
"YCR071C"	0.83	268	38
"YCR072C"	0.76	297	26
"YCR073C"	0.89	413	-14
"YCR073W-A"	0.92	425	-6
"YCR075C"	0.83	243	50
"YCR077C"	0.87	271	30
"YCR079W"	0.88	270	28
"YCR081W"	0.78	232	50
"YCR082W"	0.86	275	34
"YCR083W"	0.84	228	50
"YCR084C"	0.75	423	-27
"YCR086W"	0.62	399	8
"YCR088W"	0.89	268	38
