""	"r"	"width"	"shift"
"YGR056W"	0.95	307	-13
"YGR057C"	0.81	278	47
"YGR058W"	0.69	390	-22
"YGR059W"	0.89	275	28
"YGR060W"	0.72	208	50
"YGR061C"	0.94	290	46
"YGR062C"	0.76	239	38
"YGR063C"	0.74	297	41
"YGR065C"	0.91	317	-3
"YGR068C"	0.78	289	23
"YGR070W"	0.58	509	0
"YGR072W"	0.85	233	49
"YGR074W"	0.82	283	30
"YGR075C"	0.78	202	50
"YGR076C"	0.84	237	39
"YGR077C"	0.85	261	50
"YGR078C"	0.74	430	-23
"YGR080W"	0.85	265	46
"YGR081C"	0.82	291	37
"YGR082W"	0.82	289	32
"YGR083C"	0.9	282	42
"YGR084C"	0.82	277	31
"YGR085C"	0.93	383	-5
"YGR086C"	0.65	393	-50
"YGR087C"	0.88	286	24
"YGR088W"	0.94	335	-18
"YGR089W"	0.86	307	19
"YGR090W"	0.71	413	-25
"YGR091W"	0.76	252	50
"YGR092W"	0.91	354	-6
"YGR094W"	0.93	301	27
"YGR095C"	0.84	277	38
"YGR096W"	0.84	276	33
"YGR097W"	0.79	247	38
"YGR098C"	0.81	248	50
"YGR099W"	0.82	245	40
"YGR100W"	0.88	242	47
"YGR101W"	0.81	272	37
"YGR102C"	0.87	320	29
"YGR103W"	0.87	318	17
"YGR104C"	0.86	246	50
"YGR105W"	0.78	247	50
"YGR106C"	0.85	339	11
"YGR108W"	0.9	318	21
"YGR109C"	0.89	268	46
"YGR110W"	0.85	270	31
"YGR112W"	0.79	244	50
"YGR113W"	0.9	273	36
"YGR116W"	0.84	296	38
"YGR118W"	0.67	267	50
"YGR119C"	0.9	296	28
"YGR120C"	0.68	442	-25
"YGR121C"	0.53	423	-32
"YGR122W"	0.78	254	45
"YGR123C"	0.86	291	30
"YGR124W"	0.89	341	-30
"YGR128C"	0.93	295	34
"YGR129W"	0.94	291	0
"YGR130C"	0.92	304	27
"YGR131W"	0.81	391	-20
"YGR132C"	0.84	252	40
"YGR133W"	0.81	1	-50
"YGR134W"	0.71	259	50
"YGR135W"	0.84	272	25
"YGR136W"	0.88	299	4
"YGR138C"	0.65	246	50
"YGR140W"	0.86	294	32
"YGR141W"	0.89	293	18
"YGR142W"	0.75	433	0
"YGR143W"	0.71	316	9
"YGR144W"	0.78	301	20
"YGR145W"	0.91	295	29
"YGR146C"	0.64	267	50
"YGR147C"	0.9	276	29
"YGR148C"	0.68	455	-49
"YGR150C"	0.81	266	36
"YGR152C"	0.91	305	30
"YGR154C"	0.81	292	19
"YGR155W"	0.81	297	35
"YGR156W"	0.93	301	22
"YGR157W"	0.94	365	1
"YGR158C"	0.91	298	25
"YGR159C"	0.96	354	5
"YGR162W"	0.95	427	0
"YGR163W"	0.91	293	41
"YGR165W"	0.65	197	50
"YGR166W"	0.86	269	32
"YGR167W"	0.93	274	47
"YGR169C"	0.74	213	50
"YGR170W"	0.68	453	-26
"YGR171C"	0.67	203	50
"YGR172C"	0.87	268	40
"YGR173W"	0.87	267	37
"YGR174C"	0.84	264	50
"YGR175C"	0.72	269	32
"YGR177C"	0.67	292	50
"YGR178C"	0.89	315	9
"YGR179C"	0.91	290	40
"YGR180C"	0.81	280	28
"YGR181W"	0.88	256	50
"YGR183C"	0.84	375	-1
"YGR184C"	0.83	271	50
"YGR185C"	0.84	289	28
"YGR186W"	0.84	288	24
"YGR187C"	0.95	322	1
"YGR188C"	0.86	272	38
"YGR189C"	0.69	401	-33
"YGR191W"	0.75	407	-14
"YGR192C"	0.79	1	50
"YGR193C"	0.85	262	38
"YGR194C"	0.88	269	32
"YGR195W"	0.82	257	45
"YGR196C"	0.93	294	32
"YGR197C"	0.74	419	-22
"YGR198W"	0.91	450	-1
"YGR199W"	0.9	268	19
"YGR200C"	0.86	246	46
"YGR202C"	0.84	279	41
"YGR203W"	0.7	1	35
"YGR204W"	0.68	444	-49
"YGR205W"	0.88	337	-3
"YGR206W"	0.84	263	41
"YGR207C"	0.9	263	36
"YGR208W"	0.91	263	34
"YGR209C"	0.83	260	50
"YGR211W"	0.92	407	-3
"YGR212W"	0.88	230	35
"YGR213C"	0.88	262	50
"YGR214W"	0.67	80	50
"YGR215W"	0.91	269	45
"YGR216C"	0.86	255	43
"YGR217W"	0.87	254	33
"YGR218W"	0.92	317	25
"YGR220C"	0.9	278	22
"YGR221C"	0.8	277	32
"YGR222W"	0.85	305	29
"YGR223C"	0.81	237	50
"YGR224W"	0.86	263	42
"YGR225W"	0.85	278	35
"YGR227W"	0.86	274	38
"YGR229C"	0.65	447	-10
"YGR230W"	0.86	275	33
"YGR231C"	0.94	290	32
"YGR232W"	0.65	218	50
"YGR233C"	0.9	303	35
"YGR234W"	0.88	123	20
"YGR236C"	0.65	226	50
"YGR238C"	0.79	262	40
"YGR239C"	0.95	283	27
"YGR240C"	0.62	424	-50
"YGR241C"	0.6	398	-14
"YGR244C"	0.92	310	3
"YGR245C"	0.84	311	22
"YGR246C"	0.86	223	50
"YGR247W"	0.8	261	50
"YGR248W"	0.67	387	-15
"YGR249W"	0.69	422	-50
"YGR250C"	0.87	312	38
"YGR251W"	0.9	276	36
"YGR252W"	0.85	254	50
"YGR253C"	0.87	280	6
"YGR254W"	0.83	275	-50
"YGR255C"	0.71	406	-50
"YGR256W"	0.68	460	-25
"YGR257C"	0.85	275	43
"YGR258C"	0.87	292	39
"YGR260W"	0.85	273	14
"YGR261C"	0.83	261	50
"YGR262C"	0.91	251	43
"YGR263C"	0.85	213	31
"YGR264C"	0.85	320	21
"YGR266W"	0.9	319	15
"YGR267C"	0.9	320	20
"YGR268C"	0.9	298	5
"YGR270W"	0.88	337	2
"YGR271W"	0.85	282	34
"YGR271C-A"	0.82	279	45
"YGR274C"	0.86	257	46
"YGR275W"	0.86	256	50
"YGR276C"	0.86	227	49
"YGR277C"	0.77	241	50
"YGR278W"	0.79	244	50
"YGR279C"	0.67	442	-38
"YGR280C"	0.91	305	28
"YGR281W"	0.81	388	-13
"YGR282C"	0.77	346	-46
"YGR283C"	0.89	280	26
"YGR284C"	0.85	304	26
"YGR285C"	0.83	304	30
"YGR286C"	0.92	332	2
"YGR287C"	0.92	363	-6
"YGR288W"	0.82	293	6
"YGR289C"	0.81	328	17
"YGR292W"	0.81	326	4
"YGR295C"	0.93	284	0
"YHL048W"	0.85	283	12
"YHL046C"	0.85	273	22
"YHL043W"	0.64	160	-1
"YHL040C"	0.74	196	50
"YHL039W"	0.67	241	50
"YHL038C"	0.87	253	38
"YHL036W"	0.92	276	41
"YHL035C"	0.76	189	45
"YHL034C"	0.89	279	30
"YHL033C"	0.87	396	-12
"YHL032C"	0.71	299	42
"YHL031C"	0.69	229	50
"YHL030W"	0.76	414	-24
"YHL028W"	0.76	411	0
"YHL027W"	0.68	442	-28
"YHL025W"	0.88	283	46
"YHL024W"	0.67	404	-17
"YHL023C"	0.8	420	-23
"YHL022C"	0.97	254	8
"YHL021C"	0.77	342	-11
"YHL020C"	0.93	281	37
"YHL019C"	0.76	225	50
"YHL016C"	0.76	341	-3
"YHL015W"	0.8	390	-39
"YHL014C"	0.79	269	50
"YHL013C"	0.9	260	50
"YHL011C"	0.9	314	0
"YHL010C"	0.83	255	50
"YHL009C"	0.66	459	-30
"YHL007C"	0.94	481	0
"YHL006C"	0.79	313	5
"YHL004W"	0.79	319	19
"YHL003C"	0.86	308	12
"YHL002W"	0.76	374	-5
"YHL001W"	0.9	397	-16
"YHR001W"	0.83	239	50
"YHR001W-A"	0.95	301	-2
"YHR002W"	0.93	297	24
"YHR003C"	0.81	252	29
"YHR004C"	0.85	270	33
"YHR005C"	0.64	457	-15
"YHR005C-A"	0.71	431	-37
"YHR006W"	0.9	332	13
"YHR007C"	0.66	368	40
"YHR008C"	0.93	297	-8
"YHR010W"	0.66	404	-50
"YHR011W"	0.7	228	42
"YHR012W"	0.7	249	50
"YHR013C"	0.84	273	26
"YHR014W"	0.84	273	30
"YHR015W"	0.91	375	18
"YHR016C"	0.82	253	38
"YHR017W"	0.82	256	45
"YHR018C"	0.91	288	20
"YHR019C"	0.95	340	-3
"YHR020W"	0.95	340	12
"YHR021C"	0.71	401	-50
"YHR023W"	0.92	397	-13
"YHR024C"	0.82	264	31
"YHR025W"	0.82	266	32
"YHR026W"	0.85	290	28
"YHR027C"	0.83	289	47
"YHR028C"	0.81	281	33
"YHR029C"	0.89	236	37
"YHR030C"	0.98	345	-22
"YHR031C"	0.89	331	12
"YHR032W"	0.89	330	0
"YHR034C"	0.83	245	50
"YHR036W"	0.83	270	45
"YHR037W"	0.91	278	38
"YHR038W"	0.87	243	43
"YHR039C"	0.78	274	50
"YHR039C-A"	0.84	287	28
"YHR040W"	0.84	287	23
"YHR042W"	0.79	337	19
"YHR043C"	0.81	237	50
"YHR044C"	0.8	187	50
"YHR046C"	0.84	274	33
"YHR047C"	0.95	400	-8
"YHR049W"	0.89	310	-31
"YHR050W"	0.85	285	21
"YHR051W"	0.87	310	31
"YHR052W"	0.9	296	29
"YHR056C"	0.8	255	46
"YHR057C"	0.83	238	50
"YHR058C"	0.87	234	49
"YHR059W"	0.85	232	50
"YHR060W"	0.61	198	50
"YHR061C"	0.8	286	39
"YHR062C"	0.82	247	50
"YHR063C"	0.86	252	45
"YHR064C"	0.92	390	-14
"YHR065C"	0.88	308	25
"YHR066W"	0.89	309	21
"YHR067W"	0.84	210	36
"YHR068W"	0.89	288	43
"YHR069C"	0.91	283	37
"YHR070W"	0.91	284	42
"YHR071W"	0.92	288	5
"YHR072W"	0.88	221	30
"YHR072W-A"	0.85	293	25
"YHR073W"	0.87	284	37
"YHR074W"	0.85	258	34
"YHR075C"	0.86	256	45
"YHR076W"	0.82	226	50
"YHR077C"	0.93	367	-2
"YHR079C"	0.87	295	39
"YHR079C-A"	0.87	280	38
"YHR080C"	0.89	289	50
"YHR081W"	0.78	275	41
"YHR082C"	0.88	258	50
"YHR083W"	0.93	308	23
"YHR084W"	0.93	328	21
"YHR085W"	0.87	272	38
"YHR086W"	0.84	294	36
"YHR087W"	0.97	329	11
"YHR088W"	0.9	304	20
"YHR089C"	0.88	316	28
"YHR090C"	0.85	283	50
"YHR091C"	0.85	255	50
"YHR094C"	0.84	348	-39
"YHR096C"	0.75	182	30
"YHR098C"	0.91	317	17
"YHR099W"	0.88	282	48
"YHR100C"	0.84	256	45
"YHR101C"	0.69	211	50
"YHR102W"	0.84	248	47
"YHR103W"	0.9	340	22
"YHR104W"	0.88	271	37
"YHR105W"	0.83	230	50
"YHR106W"	0.86	204	40
"YHR107C"	0.85	280	37
"YHR108W"	0.85	280	41
"YHR109W"	0.84	203	46
"YHR110W"	0.87	263	39
"YHR111W"	0.85	278	49
"YHR113W"	0.86	265	42
"YHR114W"	0.85	266	35
"YHR115C"	0.89	290	39
"YHR116W"	0.9	289	19
"YHR117W"	0.84	270	45
"YHR118C"	0.86	256	45
"YHR119W"	0.85	257	50
"YHR120W"	0.49	247	50
"YHR121W"	0.88	283	37
"YHR122W"	0.78	265	38
"YHR123W"	0.85	286	38
"YHR124W"	0.79	431	-12
"YHR127W"	0.87	290	24
"YHR128W"	0.89	310	37
"YHR129C"	0.82	252	50
"YHR132C"	0.87	273	22
"YHR132W-A"	0.86	275	39
"YHR133C"	0.85	247	47
"YHR134W"	0.85	249	42
"YHR135C"	0.88	310	10
"YHR136C"	0.83	238	33
"YHR137W"	0.83	409	-23
"YHR139C"	0.85	320	4
"YHR141C"	0.67	442	-49
"YHR142W"	0.85	247	42
"YHR143W"	0.9	335	14
"YHR143W-A"	0.88	318	15
"YHR144C"	0.76	415	-29
"YHR146W"	0.85	333	0
"YHR147C"	0.82	281	36
"YHR148W"	0.82	283	50
"YHR149C"	0.67	452	-26
"YHR150W"	0.69	453	-27
"YHR151C"	0.91	399	-9
"YHR152W"	0.89	399	-11
"YHR153C"	0.81	300	38
"YHR154W"	0.82	301	30
"YHR155W"	0.89	281	33
"YHR156C"	0.61	447	-30
"YHR157W"	0.7	437	-10
"YHR158C"	0.81	255	49
"YHR160C"	0.88	255	37
"YHR161C"	0.63	483	-32
"YHR163W"	0.74	295	36
"YHR164C"	0.82	268	50
"YHR165C"	0.87	264	48
"YHR166C"	0.81	255	34
"YHR167W"	0.81	258	49
"YHR168W"	0.83	213	47
"YHR169W"	0.9	259	36
"YHR170W"	0.88	308	16
"YHR171W"	0.84	296	40
"YHR172W"	0.82	265	50
"YHR174W"	0.62	201	50
"YHR175W"	0.82	317	25
"YHR176W"	0.91	269	42
"YHR178W"	0.85	308	11
"YHR179W"	0.92	426	-2
"YHR181W"	0.93	407	-10
"YHR183W"	0.98	330	-7
"YHR184W"	0.87	260	46
"YHR185C"	0.67	359	50
"YHR186C"	0.88	279	38
"YHR187W"	0.88	282	41
"YHR188C"	0.87	242	42
"YHR189W"	0.86	243	50
"YHR190W"	0.9	278	17
"YHR191C"	0.74	240	50
"YHR193C"	0.76	434	-24
"YHR194W"	0.74	432	-30
"YHR195W"	0.85	262	44
"YHR196W"	0.86	284	38
"YHR197W"	0.89	279	45
"YHR198C"	0.87	243	33
"YHR199C"	0.66	420	-5
"YHR199C-A"	0.86	269	44
"YHR200W"	0.87	266	25
"YHR201C"	0.87	245	37
"YHR203C"	0.5	358	-50
"YHR204W"	0.65	449	-21
"YHR205W"	0.86	308	20
"YHR206W"	0.65	449	-24
"YHR207C"	0.83	258	44
"YHR208W"	0.9	288	39
"YHR211W"	0.89	286	44
"YHR216W"	0.81	298	9
"YIL164C"	0.91	238	50
"YIL162W"	0.69	254	50
"YIL160C"	0.84	311	-2
"YIL159W"	0.84	315	19
"YIL158W"	0.91	318	24
"YIL157C"	0.65	206	50
"YIL156W"	0.85	215	44
"YIL155C"	0.86	268	39
"YIL154C"	0.81	243	42
"YIL153W"	0.81	244	46
"YIL150C"	0.9	279	43
"YIL149C"	0.65	446	-25
"YIL148W"	0.66	450	-30
"YIL147C"	0.84	258	44
"YIL146C"	0.85	257	50
"YIL145C"	0.88	292	23
"YIL144W"	0.9	283	32
"YIL143C"	0.84	297	41
"YIL142W"	0.84	295	20
"YIL140W"	0.9	280	24
"YIL139C"	0.83	257	50
"YIL138C"	0.73	259	50
"YIL137C"	0.86	244	50
"YIL136W"	0.74	408	3
"YIL135C"	0.88	276	28
"YIL134W"	0.73	252	50
"YIL133C"	0.66	412	-50
"YIL132C"	0.73	196	50
"YIL131C"	0.8	419	-25
"YIL130W"	0.85	426	-14
"YIL129C"	0.85	252	43
"YIL128W"	0.84	225	47
"YIL126W"	0.91	365	9
"YIL125W"	0.86	300	17
"YIL124W"	0.93	297	13
"YIL123W"	0.86	298	27
"YIL122W"	0.78	421	-16
"YIL121W"	0.81	387	-39
"YIL120W"	0.53	382	14
"YIL119C"	0.54	460	-21
"YIL118W"	0.72	429	-36
"YIL117C"	0.6	381	-50
"YIL116W"	0.73	301	45
"YIL115C"	0.89	307	-15
"YIL114C"	0.87	256	42
"YIL113W"	0.89	307	5
"YIL112W"	0.88	276	37
"YIL111W"	0.8	360	50
"YIL110W"	0.92	247	29
"YIL109C"	0.85	267	50
"YIL107C"	0.71	439	-43
"YIL106W"	0.65	441	-18
"YIL105C"	0.86	279	11
"YIL104C"	0.86	248	50
"YIL103W"	0.87	247	46
"YIL101C"	0.51	520	-3
"YIL099W"	0.69	384	-22
"YIL098C"	0.91	234	48
"YIL097W"	0.91	236	50
"YIL095W"	0.92	304	23
"YIL094C"	0.88	320	26
"YIL093C"	0.73	236	50
"YIL091C"	0.88	290	41
"YIL090W"	0.87	289	30
"YIL088C"	0.85	246	19
"YIL087C"	0.73	216	28
"YIL085C"	0.89	258	39
"YIL084C"	0.85	242	43
"YIL083C"	0.9	260	39
"YIL079C"	0.75	236	50
"YIL078W"	0.8	287	29
"YIL076W"	0.76	276	31
"YIL075C"	0.91	314	31
"YIL074C"	0.94	357	-3
"YIL073C"	0.67	293	18
"YIL072W"	0.71	275	48
"YIL071C"	0.85	243	47
"YIL070C"	0.8	254	11
"YIL069C"	0.64	394	-50
"YIL068C"	0.82	257	43
"YIL066C"	0.88	296	20
"YIL065C"	0.84	281	20
"YIL064W"	0.83	284	42
"YIL063C"	0.72	240	50
"YIL062C"	0.88	288	16
"YIL061C"	0.86	241	50
"YIL057C"	0.66	397	-27
"YIL056W"	0.66	447	-27
"YIL053W"	0.53	245	-50
"YIL052C"	0.67	433	-43
"YIL051C"	0.87	304	-7
"YIL050W"	0.74	256	45
"YIL049W"	0.68	261	42
"YIL048W"	0.89	285	31
"YIL047C"	0.86	381	26
"YIL046W"	0.78	261	50
"YIL045W"	0.58	206	50
"YIL044C"	0.81	266	46
"YIL043C"	0.85	217	32
"YIL042C"	0.83	282	38
"YIL041W"	0.83	282	45
"YIL040W"	0.67	233	50
"YIL038C"	0.81	272	42
"YIL037C"	0.84	303	34
"YIL036W"	0.83	300	31
"YIL035C"	0.87	300	28
"YIL034C"	0.77	252	50
"YIL033C"	0.89	307	12
"YIL031W"	0.87	281	26
"YIL030C"	0.78	416	-23
"YIL027C"	0.89	274	40
"YIL026C"	0.86	264	50
"YIL023C"	0.77	230	50
"YIL022W"	0.88	269	34
"YIL021W"	0.84	308	21
"YIL020C"	0.86	274	37
"YIL019W"	0.86	276	44
"YIL018W"	0.59	454	-16
"YIL017C"	0.89	256	45
"YIL016W"	0.83	221	50
"YIL015W"	0.93	307	35
"YIL014W"	0.76	408	-29
"YIL013C"	0.65	456	-27
"YIL011W"	0.57	432	-50
"YIL010W"	0.86	247	40
"YIL009C-A"	0.89	385	5
"YIL009W"	0.8	376	-3
"YIL008W"	0.78	245	40
"YIL007C"	0.54	1	-22
"YIL006W"	0.85	224	50
"YIL005W"	0.86	244	37
"YIL004C"	0.78	236	50
"YIL003W"	0.81	239	50
"YIL002C"	0.91	271	34
"YIR001C"	0.88	247	48
"YIR002C"	0.61	202	50
"YIR003W"	0.83	252	45
"YIR004W"	0.89	289	38
"YIR005W"	0.87	239	45
"YIR006C"	0.86	249	38
"YIR008C"	0.82	221	50
"YIR009W"	0.81	219	50
"YIR010W"	0.82	269	38
"YIR011C"	0.81	290	33
"YIR012W"	0.81	289	27
"YIR013C"	0.73	403	-30
"YIR015W"	0.83	245	35
"YIR017C"	0.67	319	34
"YIR018W"	0.65	468	-34
"YIR021W"	0.83	270	50
"YIR022W"	0.68	225	46
"YIR023W"	0.81	255	49
"YIR024C"	0.85	214	50
"YIR025W"	0.76	213	47
"YIR026C"	0.85	267	49
"YIR027C"	0.88	291	19
"YIR028W"	0.87	291	23
"YIR029W"	0.63	399	-15
"YIR030C"	0.74	209	50
"YIR031C"	0.81	306	14
"YIR032C"	0.72	437	-26
"YIR033W"	0.75	416	-22
"YIR034C"	0.89	273	40
"YIR037W"	0.89	278	40
"YIR038C"	0.81	281	50
"YIR039C"	0.86	253	28
"YIR041W"	0.91	292	30
"YJL217W"	0.9	367	19
"YJL216C"	0.7	322	18
"YJL214W"	0.62	460	-36
"YJL213W"	0.89	319	15
"YJL212C"	0.96	323	23
"YJL210W"	0.92	316	41
"YJL209W"	0.88	280	37
"YJL208C"	0.81	290	36
"YJL207C"	0.88	297	18
"YJL205C"	0.76	217	50
"YJL204C"	0.8	232	43
"YJL203W"	0.88	232	50
"YJL201W"	0.87	272	40
"YJL200C"	0.74	420	-30
"YJL198W"	0.91	305	17
"YJL197W"	0.87	280	41
"YJL196C"	0.64	474	-35
"YJL194W"	0.69	289	28
"YJL192C"	0.91	401	-12
"YJL191W"	0.93	423	-5
"YJL190C"	0.68	438	-44
"YJL189W"	0.7	429	-46
"YJL187C"	0.9	326	5
"YJL186W"	0.83	291	33
"YJL184W"	0.72	212	50
"YJL183W"	0.81	265	39
"YJL180C"	0.77	241	50
"YJL179W"	0.78	239	50
"YJL178C"	0.68	451	-33
"YJL177W"	0.65	49	0
"YJL176C"	0.82	249	45
"YJL174W"	0.83	236	49
"YJL173C"	0.86	253	47
"YJL172W"	0.94	266	46
"YJL171C"	0.87	329	27
"YJL170C"	0.86	239	50
"YJL168C"	0.73	244	50
"YJL167W"	0.85	260	43
"YJL166W"	0.93	379	2
"YJL165C"	0.84	254	50
"YJL164C"	0.85	315	32
"YJL162C"	0.51	522	-31
"YJL159W"	0.79	395	-29
"YJL158C"	0.79	417	-15
"YJL157C"	0.93	360	10
"YJL156C"	0.86	279	30
"YJL155C"	0.92	283	44
"YJL154C"	0.91	308	24
"YJL153C"	0.67	372	7
"YJL151C"	0.91	345	-20
"YJL149W"	0.84	271	31
"YJL148W"	0.91	335	9
"YJL146W"	0.8	252	50
"YJL145W"	0.8	277	46
"YJL143W"	0.76	288	33
"YJL141C"	0.73	385	-38
"YJL140W"	0.7	446	-21
"YJL139C"	0.78	1	-50
"YJL138C"	0.84	331	0
"YJL137C"	0.63	249	50
"YJL136C"	0.66	448	-23
"YJL134W"	0.87	277	23
"YJL133W"	0.73	406	-6
"YJL131C"	0.84	273	42
"YJL130C"	0.45	462	-7
"YJL129C"	0.85	315	12
"YJL128C"	0.9	281	46
"YJL127C"	0.87	251	31
"YJL126W"	0.83	259	50
"YJL125C"	0.9	255	46
"YJL124C"	0.91	277	33
"YJL123C"	0.9	318	23
"YJL122W"	0.9	318	20
"YJL121C"	0.82	212	50
"YJL118W"	0.76	264	40
"YJL117W"	0.86	264	38
"YJL116C"	0.72	433	-24
"YJL115W"	0.92	283	43
"YJL112W"	0.75	441	-10
"YJL111W"	0.88	322	17
"YJL110C"	0.81	338	6
"YJL109C"	0.84	280	29
"YJL106W"	0.87	306	35
"YJL104W"	0.88	282	24
"YJL102W"	0.89	285	33
"YJL101C"	0.87	358	-27
"YJL100W"	0.75	259	35
"YJL099W"	0.9	266	34
"YJL098W"	0.92	318	5
"YJL097W"	0.89	256	47
"YJL096W"	0.87	257	37
"YJL095W"	0.8	251	37
"YJL094C"	0.94	274	19
"YJL093C"	0.87	245	34
"YJL092W"	0.87	278	38
"YJL091C"	0.89	287	48
"YJL090C"	0.85	272	41
"YJL089W"	0.84	286	48
"YJL088W"	0.6	465	-34
"YJL087C"	0.89	261	40
"YJL085W"	0.89	260	32
"YJL084C"	0.8	272	40
"YJL083W"	0.86	298	26
"YJL082W"	0.74	332	36
"YJL081C"	0.95	241	12
"YJL080C"	0.74	316	22
"YJL079C"	0.8	313	17
"YJL076W"	0.92	377	-7
"YJL074C"	0.89	278	33
"YJL073W"	0.89	278	49
"YJL072C"	0.86	250	50
"YJL071W"	0.88	248	46
"YJL069C"	0.86	280	33
"YJL068C"	0.87	240	44
"YJL066C"	0.77	1	-44
"YJL065C"	0.86	253	39
"YJL063C"	0.91	295	23
"YJL062W-A"	0.91	295	37
"YJL062W"	0.73	422	-15
"YJL061W"	0.88	281	28
"YJL060W"	0.88	289	30
"YJL059W"	0.89	272	34
"YJL058C"	0.8	236	50
"YJL057C"	0.8	253	50
"YJL056C"	0.87	273	50
"YJL054W"	0.78	257	49
"YJL053W"	0.8	272	25
"YJL052W"	0.85	391	6
"YJL051W"	0.87	306	27
"YJL050W"	0.86	286	35
"YJL048C"	0.79	327	1
"YJL047C"	0.91	267	46
"YJL046W"	0.92	262	13
"YJL045W"	0.84	280	42
"YJL044C"	0.88	286	24
"YJL042W"	0.87	326	-12
"YJL041W"	0.85	287	29
"YJL039C"	0.8	261	45
"YJL038C"	0.8	250	50
"YJL037W"	0.46	401	-7
"YJL036W"	0.81	271	50
"YJL035C"	0.91	342	15
"YJL034W"	0.9	339	22
"YJL033W"	0.84	308	24
"YJL031C"	0.87	238	50
"YJL030W"	0.86	237	50
"YJL029C"	0.77	393	-7
"YJL028W"	0.75	394	-4
"YJL026W"	0.77	192	50
"YJL025W"	0.84	309	31
"YJL024C"	0.9	363	11
"YJL023C"	0.85	254	50
"YJL020C"	0.86	393	-17
"YJL019W"	0.86	394	-20
"YJL014W"	0.89	294	32
"YJL013C"	0.88	285	35
"YJL012C"	0.89	294	39
"YJL011C"	0.81	396	-24
"YJL010C"	0.88	266	39
"YJL008C"	0.9	303	20
"YJL006C"	0.79	251	50
"YJL005W"	0.9	279	12
"YJL004C"	0.83	271	49
"YJL003W"	0.64	211	50
"YJL002C"	0.9	278	49
"YJL001W"	0.86	256	38
"YJR001W"	0.84	260	44
"YJR002W"	0.83	315	12
"YJR004C"	0.89	286	34
"YJR005W"	0.9	285	24
"YJR006W"	0.84	293	22
"YJR007W"	0.9	307	13
"YJR009C"	0.54	230	50
"YJR010W"	0.73	390	43
"YJR010C-A"	0.82	239	43
"YJR013W"	0.54	419	-7
"YJR014W"	0.82	283	30
"YJR016C"	0.84	339	18
"YJR017C"	0.79	278	42
"YJR019C"	0.84	244	49
"YJR021C"	0.81	239	50
"YJR022W"	0.83	236	44
"YJR024C"	0.62	221	50
"YJR025C"	0.79	249	47
"YJR031C"	0.87	273	49
"YJR032W"	0.86	272	49
"YJR033C"	0.85	238	45
"YJR034W"	0.86	235	27
"YJR035W"	0.82	197	45
"YJR036C"	0.88	250	39
"YJR040W"	0.85	244	27
"YJR041C"	0.89	273	45
"YJR042W"	0.9	273	45
"YJR043C"	0.75	246	47
"YJR044C"	0.91	270	34
"YJR045C"	0.92	350	4
"YJR046W"	0.91	350	12
"YJR047C"	0.62	270	50
"YJR048W"	0.73	369	1
"YJR049C"	0.93	271	38
"YJR050W"	0.92	273	48
"YJR051W"	0.89	258	45
"YJR052W"	0.83	409	-11
"YJR053W"	0.82	264	24
"YJR055W"	0.84	410	-20
"YJR057W"	0.88	257	50
"YJR058C"	0.71	220	50
"YJR059W"	0.94	336	9
"YJR060W"	0.91	322	14
"YJR062C"	0.9	412	-8
"YJR063W"	0.86	403	-14
"YJR064W"	0.73	281	36
"YJR065C"	0.89	318	27
"YJR066W"	0.88	317	22
"YJR067C"	0.81	251	47
"YJR068W"	0.81	252	49
"YJR069C"	0.82	216	50
"YJR070C"	0.87	281	43
"YJR072C"	0.88	251	45
"YJR073C"	0.66	191	50
"YJR075W"	0.81	253	39
"YJR076C"	0.83	275	27
"YJR077C"	0.77	279	39
"YJR078W"	0.85	288	44
"YJR080C"	0.88	237	43
"YJR082C"	0.88	252	50
"YJR083C"	0.71	232	50
"YJR084W"	0.85	232	39
"YJR086W"	0.71	267	30
"YJR088C"	0.8	265	39
"YJR089W"	0.81	266	45
"YJR090C"	0.89	286	36
"YJR091C"	0.88	350	-37
"YJR092W"	0.95	367	-6
"YJR093C"	0.8	286	34
"YJR095W"	0.86	386	-24
"YJR096W"	0.85	239	30
"YJR097W"	0.84	298	24
"YJR099W"	0.89	284	35
"YJR100C"	0.68	251	30
"YJR101W"	0.7	431	-21
"YJR102C"	0.83	209	50
"YJR103W"	0.92	265	38
"YJR104C"	0.75	334	-25
"YJR105W"	0.63	468	-21
"YJR106W"	0.86	252	45
"YJR108W"	0.93	278	30
"YJR109C"	0.65	208	50
"YJR110W"	0.85	398	-21
"YJR112W"	0.88	282	30
"YJR113C"	0.73	412	0
"YJR117W"	0.93	309	13
"YJR118C"	0.85	275	38
"YJR119C"	0.93	384	-14
"YJR120W"	0.91	381	-15
"YJR121W"	0.78	414	-12
"YJR122W"	0.91	248	44
"YJR123W"	0.67	442	-35
"YJR125C"	0.84	271	42
"YJR126C"	0.92	282	40
"YJR130C"	0.88	245	49
"YJR131W"	0.86	249	50
"YJR132W"	0.92	261	40
"YJR133W"	0.85	246	44
"YJR134C"	0.68	469	0
"YJR135C"	0.76	232	50
"YJR135W-A"	0.69	248	50
"YJR136C"	0.83	253	45
"YJR137C"	0.87	299	50
"YJR138W"	0.83	269	40
"YJR139C"	0.9	307	40
"YJR140C"	0.72	219	50
"YJR143C"	0.88	285	35
"YJR144W"	0.89	287	41
"YJR145C"	0.67	443	-26
"YJR147W"	0.7	259	50
"YJR148W"	0.67	427	-24
"YJR150C"	0.86	280	33
