""	"r"	"width"	"shift"
"YDR181C"	0.69	470	-9
"YDR182W"	0.86	273	47
"YDR183W"	0.77	228	50
"YDR184C"	0.88	315	48
"YDR185C"	0.75	292	50
"YDR186C"	0.62	507	-45
"YDR188W"	0.77	364	22
"YDR189W"	0.87	285	50
"YDR190C"	0.89	340	34
"YDR191W"	0.88	340	43
"YDR192C"	0.74	458	-16
"YDR194C"	0.66	1	-50
"YDR195W"	0.72	1	-48
"YDR196C"	0.77	283	50
"YDR197W"	0.69	489	0
"YDR198C"	0.84	467	-8
"YDR200C"	0.61	440	-7
"YDR201W"	0.69	452	-16
"YDR202C"	0.58	244	50
"YDR204W"	0.55	401	-9
"YDR205W"	0.52	488	-13
"YDR206W"	0.84	293	50
"YDR207C"	0.77	290	50
"YDR208W"	0.95	328	21
"YDR211W"	0.68	495	-37
"YDR212W"	0.77	275	50
"YDR213W"	0.85	285	50
"YDR214W"	0.7	253	47
"YDR216W"	0.51	501	-34
"YDR217C"	0.53	446	-12
"YDR218C"	0.71	277	50
"YDR219C"	0.63	268	50
"YDR221W"	0.79	280	50
"YDR223W"	0.76	243	38
"YDR224C"	0.88	278	38
"YDR225W"	0.81	340	4
"YDR226W"	0.85	339	43
"YDR227W"	0.67	282	50
"YDR228C"	0.89	283	43
"YDR229W"	0.83	254	50
"YDR231C"	0.93	349	8
"YDR232W"	0.91	349	38
"YDR233C"	0.62	294	50
"YDR234W"	0.79	435	0
"YDR235W"	0.86	267	46
"YDR236C"	0.46	1	-16
"YDR237W"	0.59	429	-13
"YDR238C"	0.84	309	48
"YDR239C"	0.82	450	-12
"YDR240C"	0.68	262	50
"YDR242W"	0.71	270	50
"YDR243C"	0.77	299	50
"YDR244W"	0.8	300	50
"YDR245W"	0.79	306	50
"YDR246W"	0.82	287	47
"YDR247W"	0.63	367	22
"YDR251W"	0.91	338	22
"YDR252W"	0.57	485	-6
"YDR253C"	0.88	318	28
"YDR254W"	0.89	321	46
"YDR255C"	0.81	296	50
"YDR256C"	0.66	446	-30
"YDR257C"	0.75	295	50
"YDR258C"	0.7	338	50
"YDR259C"	0.85	457	0
"YDR260C"	0.89	293	41
"YDR261C"	0.92	336	23
"YDR263C"	0.58	483	-6
"YDR264C"	0.85	265	50
"YDR265W"	0.81	265	50
"YDR266C"	0.77	287	50
"YDR267C"	0.57	1	-49
"YDR268W"	0.76	223	50
"YDR270W"	0.7	289	50
"YDR272W"	0.52	1	-27
"YDR273W"	0.79	272	50
"YDR275W"	0.61	344	50
"YDR276C"	0.68	445	-27
"YDR277C"	0.75	440	0
"YDR279W"	0.76	258	50
"YDR280W"	0.83	288	50
"YDR281C"	0.84	278	44
"YDR283C"	0.58	286	50
"YDR284C"	0.81	335	34
"YDR285W"	0.83	318	38
"YDR287W"	0.69	500	-10
"YDR288W"	0.66	438	-12
"YDR289C"	0.79	261	50
"YDR292C"	0.9	288	50
"YDR293C"	0.8	337	40
"YDR294C"	0.65	1	-50
"YDR295C"	0.79	316	50
"YDR296W"	0.86	324	13
"YDR297W"	0.78	330	28
"YDR298C"	0.7	250	50
"YDR299W"	0.76	468	-15
"YDR300C"	0.84	273	50
"YDR301W"	0.57	1	-41
"YDR302W"	0.87	288	44
"YDR303C"	0.49	389	27
"YDR304C"	0.43	395	-2
"YDR305C"	0.79	220	50
"YDR308C"	0.57	1	-50
"YDR309C"	0.67	488	-48
"YDR310C"	0.82	264	48
"YDR311W"	0.73	1	-50
"YDR312W"	0.71	241	50
"YDR313C"	0.94	318	38
"YDR314C"	0.5	406	10
"YDR315C"	0.6	1	-50
"YDR316W"	0.71	426	-20
"YDR317W"	0.57	211	50
"YDR318W"	0.74	445	-24
"YDR320C"	0.6	366	0
"YDR320C-A"	0.66	256	50
"YDR321W"	0.73	455	-15
"YDR322W"	0.62	472	-7
"YDR322C-A"	0.81	271	50
"YDR323C"	0.68	272	50
"YDR324C"	0.71	1	-50
"YDR325W"	0.63	1	-37
"YDR326C"	0.83	291	44
"YDR328C"	0.74	436	-20
"YDR329C"	0.68	488	-13
"YDR330W"	0.73	278	50
"YDR331W"	0.74	276	50
"YDR332W"	0.54	438	-18
"YDR334W"	0.84	398	3
"YDR335W"	0.85	304	43
"YDR337W"	0.66	467	-11
"YDR339C"	0.85	264	50
"YDR341C"	0.89	315	37
"YDR342C"	0.57	426	-50
"YDR343C"	0.9	103	23
"YDR345C"	0.7	485	-32
"YDR346C"	0.88	334	11
"YDR347W"	0.88	338	39
"YDR349C"	0.8	299	50
"YDR350C"	0.75	303	50
"YDR351W"	0.74	311	50
"YDR353W"	0.71	295	50
"YDR354W"	0.73	297	46
"YDR356W"	0.75	277	50
"YDR358W"	0.75	405	-23
"YDR359C"	0.77	301	50
"YDR361C"	0.84	303	50
"YDR362C"	0.66	268	50
"YDR363W"	0.85	271	50
"YDR363W-A"	0.59	382	17
"YDR364C"	0.69	256	50
"YDR365C"	0.66	500	-27
"YDR367W"	0.66	477	-40
"YDR368W"	0.91	298	50
"YDR369C"	0.52	416	12
"YDR372C"	0.8	317	30
"YDR373W"	0.8	318	40
"YDR375C"	0.66	482	-10
"YDR376W"	0.84	269	50
"YDR377W"	0.8	298	50
"YDR378C"	0.81	264	50
"YDR379W"	0.77	236	50
"YDR379C-A"	0.67	266	50
"YDR380W"	0.96	367	36
"YDR381W"	0.78	374	-8
"YDR381C-A"	0.53	541	-34
"YDR382W"	0.92	390	-6
"YDR383C"	0.68	214	50
"YDR384C"	0.7	463	-25
"YDR385W"	0.62	508	-38
"YDR386W"	0.81	252	50
"YDR388W"	0.62	537	0
"YDR389W"	0.94	430	-12
"YDR390C"	0.92	431	-7
"YDR392W"	0.7	449	-9
"YDR393W"	0.65	1	-42
"YDR394W"	0.84	286	50
"YDR395W"	0.83	303	50
"YDR397C"	0.75	271	50
"YDR398W"	0.87	314	34
"YDR399W"	0.94	346	43
"YDR400W"	0.76	259	48
"YDR402C"	0.8	283	50
"YDR403W"	0.75	291	50
"YDR404C"	0.91	339	39
"YDR405W"	0.89	337	37
"YDR406W"	0.83	364	-11
"YDR407C"	0.74	307	46
"YDR408C"	0.73	266	50
"YDR409W"	0.78	284	50
"YDR410C"	0.81	282	50
"YDR411C"	0.86	311	50
"YDR412W"	0.88	310	50
"YDR414C"	0.65	431	-14
"YDR416W"	0.61	235	50
"YDR418W"	0.97	395	4
"YDR419W"	0.83	372	-1
"YDR420W"	0.74	289	48
"YDR421W"	0.69	231	50
"YDR422C"	0.76	295	50
"YDR423C"	0.74	268	50
"YDR424C"	0.63	1	-38
"YDR425W"	0.67	447	-18
"YDR427W"	0.67	272	50
"YDR428C"	0.64	424	-23
"YDR429C"	0.76	274	50
"YDR430C"	0.87	314	50
"YDR432W"	0.87	313	33
"YDR434W"	0.81	260	50
"YDR435C"	0.83	292	50
"YDR436W"	0.85	378	-13
"YDR437W"	0.52	426	11
"YDR438W"	0.56	425	-29
"YDR439W"	0.65	234	50
"YDR440W"	0.8	282	50
"YDR441C"	0.59	502	-12
"YDR443C"	0.86	301	50
"YDR446W"	0.71	294	50
"YDR447C"	0.53	418	-50
"YDR448W"	0.85	402	-1
"YDR449C"	0.73	295	48
"YDR450W"	0.9	443	-11
"YDR451C"	0.82	443	-31
"YDR452W"	0.87	449	-19
"YDR453C"	0.62	274	50
"YDR454C"	0.82	416	-8
"YDR456W"	0.7	275	50
"YDR457W"	0.89	284	49
"YDR458C"	0.81	248	48
"YDR459C"	0.63	448	-9
"YDR460W"	0.61	457	-10
"YDR461W"	0.85	296	44
"YDR462W"	0.89	304	50
"YDR463W"	0.77	300	50
"YDR464W"	0.89	289	46
"YDR465C"	0.54	531	-16
"YDR466W"	0.74	256	50
"YDR468C"	0.58	544	0
"YDR469W"	0.75	466	-13
"YDR470C"	0.66	505	-25
"YDR471W"	0.67	471	-50
"YDR472W"	0.73	346	-5
"YDR473C"	0.66	435	-4
"YDR475C"	0.76	409	-46
"YDR477W"	0.68	256	50
"YDR478W"	0.74	286	50
"YDR479C"	0.87	246	50
"YDR480W"	0.57	1	-27
"YDR481C"	0.82	237	50
"YDR482C"	0.72	294	50
"YDR483W"	0.83	274	50
"YDR484W"	0.56	465	-20
"YDR485C"	0.73	442	-5
"YDR486C"	0.6	254	50
"YDR487C"	0.65	490	-43
"YDR488C"	0.7	284	46
"YDR489W"	0.82	286	50
"YDR490C"	0.82	464	-21
"YDR492W"	0.86	469	-15
"YDR493W"	0.52	423	-15
"YDR494W"	0.87	283	37
"YDR495C"	0.79	272	50
"YDR496C"	0.9	294	46
"YDR497C"	0.78	305	49
"YDR498C"	0.62	259	50
"YDR499W"	0.71	1	-45
"YDR500C"	0.92	411	-14
"YDR501W"	0.92	412	-8
"YDR502C"	0.91	345	9
"YDR503C"	0.72	445	-14
"YDR505C"	0.9	453	-9
"YDR507C"	0.88	306	50
"YDR508C"	0.61	398	-50
"YDR510W"	0.68	502	-26
"YDR511W"	0.62	361	11
"YDR512C"	0.87	261	50
"YDR513W"	0.9	257	26
"YDR515W"	0.75	436	6
"YDR516C"	0.79	286	50
"YDR517W"	0.69	270	50
"YDR518W"	0.86	288	50
"YDR519W"	0.69	289	50
"YDR522C"	0.74	453	-13
"YDR523C"	0.78	289	50
"YDR524C"	0.88	399	-17
"YDR525W-A"	0.66	492	-48
"YDR527W"	0.83	327	32
"YDR528W"	0.9	345	47
"YDR529C"	0.82	309	41
"YDR530C"	0.54	519	0
"YDR531W"	0.8	258	49
"YDR532C"	0.64	221	48
"YDR533C"	0.69	252	50
"YDR536W"	0.9	383	-36
"YDR538W"	0.61	272	50
"YDR539W"	0.91	320	31
"YDR540C"	0.7	413	2
"YDR542W"	0.74	208	3
"YEL072W"	0.93	345	35
"YEL071W"	0.81	341	50
"YEL069C"	0.88	404	-8
"YEL066W"	0.77	399	1
"YEL065W"	0.67	453	-19
"YEL064C"	0.68	272	50
"YEL063C"	0.78	420	17
"YEL062W"	0.62	375	-8
"YEL061C"	0.8	299	50
"YEL060C"	0.63	491	-13
"YEL059C-A"	0.45	1	-50
"YEL058W"	0.48	397	-3
"YEL056W"	0.57	483	-15
"YEL055C"	0.87	315	44
"YEL054C"	0.94	410	9
"YEL053C"	0.6	245	50
"YEL052W"	0.73	194	50
"YEL051W"	0.81	293	50
"YEL050C"	0.78	282	50
"YEL049W"	0.68	244	50
"YEL048C"	0.72	283	50
"YEL047C"	0.75	292	50
"YEL046C"	0.65	302	27
"YEL044W"	0.62	499	-50
"YEL043W"	0.88	285	48
"YEL042W"	0.89	329	25
"YEL041W"	0.86	235	48
"YEL040W"	0.92	425	-3
"YEL039C"	0.9	355	17
"YEL038W"	0.91	355	15
"YEL037C"	0.88	312	50
"YEL036C"	0.72	315	43
"YEL034W"	0.62	214	23
"YEL032W"	0.69	420	-2
"YEL031W"	0.84	287	50
"YEL030W"	0.8	281	50
"YEL029C"	0.83	283	50
"YEL027W"	0.91	387	-34
"YEL026W"	0.94	341	21
"YEL024W"	0.9	316	50
"YEL022W"	0.75	289	50
"YEL021W"	0.84	301	50
"YEL020W-A"	0.87	276	50
"YEL019C"	0.64	462	-15
"YEL018W"	0.81	246	50
"YEL017C-A"	0.49	486	-17
"YEL017W"	0.7	476	-35
"YEL016C"	0.82	280	50
"YEL015W"	0.73	275	50
"YEL013W"	0.88	299	50
"YEL012W"	0.81	328	41
"YEL011W"	0.52	1	-47
"YEL009C"	0.41	1	-32
"YEL006W"	0.93	326	44
"YEL005C"	0.69	224	50
"YEL004W"	0.68	242	50
"YEL003W"	0.75	277	50
"YEL002C"	0.88	291	50
"YEL001C"	0.87	311	50
"YER001W"	0.8	344	-1
"YER002W"	0.91	325	35
"YER003C"	0.64	299	50
"YER004W"	0.66	250	50
"YER005W"	0.72	250	27
"YER006W"	0.9	321	43
"YER007W"	0.69	374	16
"YER007C-A"	0.68	457	-18
"YER008C"	0.78	478	-14
"YER009W"	0.79	287	45
"YER010C"	0.51	409	-11
"YER011W"	0.86	401	24
"YER012W"	0.86	275	35
"YER013W"	0.79	308	50
"YER014W"	0.72	267	50
"YER014C-A"	0.72	183	46
"YER015W"	0.72	247	50
"YER016W"	0.66	437	-7
"YER017C"	0.75	226	50
"YER018C"	0.69	277	50
"YER019W"	0.8	304	49
"YER019C-A"	0.65	319	42
"YER020W"	0.53	293	50
"YER021W"	0.79	304	38
"YER022W"	0.52	1	-50
"YER023W"	0.68	269	50
"YER024W"	0.78	448	-18
"YER025W"	0.84	287	50
"YER026C"	0.84	308	50
"YER027C"	0.54	256	50
"YER028C"	0.91	337	-30
"YER029C"	0.84	284	50
"YER030W"	0.82	286	50
"YER031C"	0.84	295	50
"YER032W"	0.85	295	45
"YER033C"	0.64	1	-8
"YER035W"	0.75	426	-40
"YER036C"	0.61	281	50
"YER037W"	0.88	367	-31
"YER038C"	0.54	429	-20
"YER039C"	0.77	283	50
"YER040W"	0.66	267	50
"YER041W"	0.49	432	-11
"YER042W"	0.83	274	50
"YER043C"	0.93	389	38
"YER044C"	0.87	330	50
"YER044C-A"	0.44	1	0
"YER045C"	0.72	408	19
"YER046W"	0.8	425	-20
"YER047C"	0.67	477	-16
"YER048C"	0.92	289	37
"YER048W-A"	0.6	281	50
"YER049W"	0.74	285	50
"YER050C"	0.67	498	-7
"YER051W"	0.76	288	50
"YER052C"	0.92	355	34
"YER053C"	0.61	1	24
"YER055C"	0.9	353	33
"YER056C"	0.68	491	-21
"YER056C-A"	0.74	498	-7
"YER057C"	0.52	212	50
"YER058W"	0.68	433	-14
"YER059W"	0.61	309	50
"YER060W"	0.68	267	50
"YER061C"	0.73	220	41
"YER062C"	0.71	454	-50
"YER063W"	0.91	290	18
"YER065C"	0.88	337	11
"YER067W"	0.84	308	50
"YER068W"	0.96	332	36
"YER069W"	0.71	303	50
"YER070W"	0.9	364	14
"YER072W"	0.86	300	50
"YER073W"	0.68	398	-50
"YER074W"	0.71	470	-37
"YER074W-A"	0.73	267	50
"YER075C"	0.87	378	-49
"YER078C"	0.79	321	50
"YER080W"	0.7	232	50
"YER081W"	0.95	380	11
"YER082C"	0.79	296	50
"YER083C"	0.74	269	50
"YER086W"	0.86	324	45
"YER087W"	0.43	1	-24
"YER087C-B"	0.88	311	50
"YER088C"	0.45	413	1
"YER089C"	0.85	318	45
"YER090W"	0.86	318	47
"YER091C"	0.55	444	0
"YER092W"	0.68	491	-36
"YER093C"	0.69	224	50
"YER093C-A"	0.53	366	27
"YER094C"	0.76	271	50
"YER095W"	0.75	266	50
"YER096W"	0.77	458	-18
"YER098W"	0.62	368	20
"YER099C"	0.62	515	-27
"YER100W"	0.71	241	50
"YER101C"	0.5	374	-11
"YER102W"	0.64	509	-15
"YER103W"	0.64	368	1
"YER104W"	0.54	250	50
"YER105C"	0.85	284	46
"YER106W"	0.86	285	48
"YER107C"	0.75	281	50
"YER109C"	0.78	287	50
"YER110C"	0.76	309	50
"YER111C"	0.76	325	37
"YER112W"	0.9	354	17
"YER113C"	0.64	1	-47
"YER114C"	0.71	312	25
"YER115C"	0.68	264	50
"YER116C"	0.65	508	-25
"YER117W"	0.61	503	-23
"YER118C"	0.77	288	50
"YER119C"	0.89	317	38
"YER120W"	0.89	316	36
"YER122C"	0.86	307	50
"YER123W"	0.89	306	42
"YER124C"	0.81	388	15
"YER125W"	0.8	389	15
"YER126C"	0.8	304	50
"YER127W"	0.89	307	43
"YER129W"	0.84	289	44
"YER131W"	0.95	478	0
"YER132C"	0.79	265	50
"YER133W"	0.87	281	17
"YER136W"	0.6	335	50
"YER139C"	0.69	449	-22
"YER141W"	0.84	308	44
"YER142C"	0.69	270	50
"YER143W"	0.62	1	-50
"YER144C"	0.79	308	39
"YER145C"	0.74	388	-50
"YER146W"	0.6	337	40
"YER147C"	0.89	305	48
"YER148W"	0.88	304	40
"YER149C"	0.59	276	50
"YER150W"	0.7	346	33
"YER151C"	0.86	278	50
"YER152C"	0.83	285	44
"YER153C"	0.73	277	50
"YER154W"	0.81	285	44
"YER155C"	0.49	564	-30
"YER157W"	0.47	533	-36
"YER159C"	0.67	307	11
"YER161C"	0.85	287	50
"YER162C"	0.7	442	-18
"YER164W"	0.71	296	50
"YER165W"	0.88	361	8
"YER166W"	0.88	317	32
"YER167W"	0.91	342	29
"YER168C"	0.68	508	-21
"YER169W"	0.69	485	-40
"YER170W"	0.71	263	50
"YER171W"	0.8	282	50
"YER172C"	0.64	468	-15
"YER173W"	0.67	274	50
"YER174C"	0.87	270	50
"YER175C"	0.59	196	50
"YER176W"	0.86	309	42
"YER177W"	0.65	248	50
"YER178W"	0.89	317	50
"YER179W"	0.44	1	-23
"YER180C-A"	0.82	409	-2
"YER183C"	0.49	436	-6
"YER185W"	0.68	314	41
"YFL062W"	0.83	270	45
"YFL060C"	0.62	526	-40
"YFL059W"	0.83	1	-2
"YFL058W"	0.87	1	-49
"YFL056C"	0.68	490	-14
"YFL055W"	0.79	269	50
"YFL053W"	0.8	300	50
"YFL050C"	0.77	272	50
"YFL049W"	0.79	278	50
"YFL048C"	0.67	263	50
"YFL047W"	0.79	281	50
"YFL045C"	0.71	287	50
"YFL044C"	0.57	395	-5
"YFL041W"	0.5	406	-9
"YFL039C"	0.76	283	50
"YFL038C"	0.89	350	18
"YFL037W"	0.89	352	30
"YFL036W"	0.9	372	14
"YFL034C-B"	0.75	273	50
"YFL034C-A"	0.86	383	1
"YFL033C"	0.57	515	-25
"YFL031W"	0.87	418	-19
"YFL030W"	0.67	1	-13
"YFL029C"	0.7	384	-10
"YFL028C"	0.61	440	-16
"YFL027C"	0.57	540	-27
"YFL026W"	0.91	406	6
"YFL025C"	0.78	261	50
"YFL024C"	0.63	295	50
"YFL023W"	0.89	428	-15
"YFL022C"	0.92	416	-4
"YFL021W"	0.64	429	50
"YFL018C"	0.92	316	36
"YFL017W-A"	0.58	1	-22
"YFL017C"	0.73	265	50
"YFL016C"	0.76	435	-35
"YFL014W"	0.65	508	-30
"YFL013C"	0.85	317	50
"YFL011W"	0.58	269	50
"YFL010W-A"	0.56	256	50
"YFL010C"	0.8	279	50
"YFL009W"	0.82	283	50
"YFL008W"	0.87	294	50
"YFL007W"	0.81	294	50
"YFL005W"	0.85	271	50
"YFL004W"	0.65	497	-23
"YFL003C"	0.9	312	46
"YFL002C"	0.81	289	50
"YFL001W"	0.66	256	50
"YFR001W"	0.83	295	42
"YFR002W"	0.82	293	50
"YFR003C"	0.87	295	50
"YFR004W"	0.78	300	50
"YFR005C"	0.94	354	20
"YFR007W"	0.64	406	11
"YFR008W"	0.55	454	-10
"YFR009W"	0.76	409	-28
"YFR010W"	0.87	261	50
"YFR011C"	0.82	375	15
"YFR013W"	0.65	422	-2
"YFR014C"	0.89	313	22
"YFR015C"	0.93	456	0
"YFR016C"	0.95	364	13
"YFR019W"	0.85	286	50
"YFR021W"	0.66	265	50
"YFR022W"	0.81	262	45
"YFR023W"	0.53	1	-18
"YFR024C-A"	0.76	265	50
"YFR025C"	0.74	367	26
"YFR026C"	0.63	434	-12
"YFR027W"	0.6	454	-15
"YFR028C"	0.74	461	-42
"YFR029W"	0.86	372	9
"YFR030W"	0.71	310	50
"YFR031C"	0.59	229	50
"YFR031C-A"	0.41	1	47
"YFR032C-A"	0.72	471	-41
"YFR033C"	0.7	467	-22
"YFR034C"	0.84	325	27
"YFR036W"	0.66	479	-26
"YFR037C"	0.77	288	50
"YFR038W"	0.74	278	50
"YFR040W"	0.89	393	4
"YFR041C"	0.57	226	50
"YFR042W"	0.53	433	-9
"YFR043C"	0.67	400	-25
"YFR044C"	0.81	452	-11
"YFR046C"	0.52	402	2
"YFR047C"	0.66	406	5
"YFR048W"	0.77	279	50
"YFR049W"	0.85	278	50
"YFR050C"	0.77	280	50
"YFR051C"	0.77	291	50
"YFR052W"	0.79	297	50
"YGL258W"	0.89	305	50
"YGL257C"	0.72	468	-17
"YGL256W"	0.68	470	-22
"YGL255W"	0.87	292	39
"YGL254W"	0.77	229	50
"YGL253W"	0.66	500	-47
"YGL252C"	0.88	315	41
"YGL250W"	0.64	274	50
"YGL249W"	0.52	486	-17
"YGL248W"	0.8	1	-50
"YGL247W"	0.57	498	-11
"YGL246C"	0.81	287	50
"YGL245W"	0.77	283	50
"YGL244W"	0.84	291	50
"YGL243W"	0.72	216	42
"YGL241W"	0.75	242	50
"YGL240W"	0.71	266	50
"YGL238W"	0.71	293	50
"YGL237C"	0.69	269	50
"YGL236C"	0.87	312	49
"YGL234W"	0.88	312	36
"YGL233W"	0.65	449	-22
"YGL232W"	0.68	400	-7
"YGL231C"	0.59	501	-32
"YGL229C"	0.95	403	-5
"YGL228W"	0.95	403	-2
"YGL227W"	0.67	442	-23
"YGL226C-A"	0.67	240	50
"YGL226W"	0.62	437	-19
"YGL225W"	0.93	408	5
"YGL224C"	0.62	1	-50
"YGL223C"	0.74	416	-20
"YGL222C"	0.73	295	50
"YGL221C"	0.58	245	50
"YGL220W"	0.69	233	50
"YGL219C"	0.92	432	-5
"YGL216W"	0.92	431	-9
"YGL215W"	0.86	297	46
"YGL213C"	0.6	272	50
"YGL212W"	0.77	266	50
"YGL211W"	0.66	254	50
"YGL210W"	0.79	280	50
"YGL209W"	0.92	414	-21
"YGL208W"	0.63	432	-20
"YGL207W"	0.87	311	40
"YGL206C"	0.96	480	0
"YGL205W"	0.88	459	-17
"YGL203C"	0.83	295	50
"YGL202W"	0.91	302	25
"YGL201C"	0.85	280	50
"YGL200C"	0.87	340	2
"YGL198W"	0.85	344	31
"YGL197W"	0.85	305	25
"YGL196W"	0.77	309	50
"YGL195W"	0.84	309	50
"YGL194C"	0.71	1	-50
"YGL192W"	0.71	426	-2
"YGL191W"	0.77	437	4
"YGL190C"	0.71	264	30
"YGL189C"	0.68	483	-29
"YGL187C"	0.92	321	27
"YGL186C"	0.82	442	-19
"YGL183C"	0.8	298	50
"YGL181W"	0.81	312	50
"YGL180W"	0.84	430	-10
"YGL179C"	0.82	302	50
"YGL178W"	0.88	378	21
"YGL175C"	0.6	1	-46
"YGL174W"	0.72	449	-22
"YGL173C"	0.88	302	37
"YGL172W"	0.89	303	43
"YGL171W"	0.69	286	50
"YGL170C"	0.89	419	3
"YGL169W"	0.89	418	1
"YGL168W"	0.86	268	39
"YGL167C"	0.83	316	50
"YGL166W"	0.87	328	44
"YGL164C"	0.6	234	50
"YGL163C"	0.73	275	50
"YGL162W"	0.64	282	50
"YGL161C"	0.85	292	50
"YGL160W"	0.86	290	50
"YGL158W"	0.52	1	-50
"YGL157W"	0.91	332	15
"YGL156W"	0.59	276	50
"YGL155W"	0.61	1	-48
"YGL154C"	0.55	248	50
"YGL153W"	0.69	245	50
"YGL151W"	0.66	285	50
"YGL150C"	0.74	361	-11
"YGL148W"	0.79	301	48
"YGL147C"	0.83	452	-20
"YGL145W"	0.91	437	-9
"YGL144C"	0.53	432	-14
"YGL143C"	0.59	407	-13
"YGL142C"	0.56	432	-8
"YGL141W"	0.58	424	-4
"YGL139W"	0.84	293	50
"YGL137W"	0.82	314	41
"YGL136C"	0.89	355	23
"YGL135W"	0.9	358	32
"YGL134W"	0.85	308	50
"YGL133W"	0.79	272	35
"YGL131C"	0.68	439	-18
"YGL130W"	0.66	461	4
"YGL129C"	0.59	458	-3
"YGL128C"	0.47	562	-31
"YGL127C"	0.75	1	-50
"YGL126W"	0.84	255	50
"YGL125W"	0.5	1	19
"YGL124C"	0.55	341	25
"YGL123W"	0.86	503	0
"YGL122C"	0.88	309	48
"YGL121C"	0.67	216	48
"YGL120C"	0.48	1	-41
"YGL119W"	0.62	520	-40
"YGL116W"	0.93	315	50
"YGL115W"	0.82	276	50
"YGL113W"	0.83	276	49
"YGL112C"	0.79	284	50
"YGL111W"	0.74	277	50
"YGL110C"	0.54	1	-50
"YGL107C"	0.84	297	50
"YGL106W"	0.84	295	47
"YGL105W"	0.91	325	21
"YGL104C"	0.55	399	-7
"YGL103W"	0.9	416	-8
"YGL100W"	0.68	400	-16
"YGL099W"	0.79	282	50
"YGL098W"	0.53	560	-34
"YGL097W"	0.78	321	39
"YGL096W"	0.65	348	11
"YGL095C"	0.86	333	39
"YGL094C"	0.72	270	50
"YGL093W"	0.83	277	50
"YGL092W"	0.86	277	50
"YGL091C"	0.63	263	50
"YGL090W"	0.74	275	50
"YGL087C"	0.82	294	40
"YGL086W"	0.82	293	50
"YGL084C"	0.76	467	0
"YGL083W"	0.86	308	47
"YGL078C"	0.8	289	50
"YGL077C"	0.89	320	49
"YGL076C"	0.93	370	21
"YGL075C"	0.65	259	50
"YGL073W"	0.61	1	-20
"YGL071W"	0.9	338	30
"YGL070C"	0.79	281	50
"YGL068W"	0.78	275	50
"YGL067W"	0.5	524	-22
"YGL066W"	0.82	282	46
"YGL065C"	0.82	246	50
"YGL064C"	0.82	302	46
"YGL063W"	0.76	289	50
"YGL062W"	0.65	496	-38
"YGL061C"	0.61	246	50
"YGL060W"	0.63	436	-22
"YGL059W"	0.71	272	50
"YGL058W"	0.89	314	50
"YGL057C"	0.74	471	-14
"YGL056C"	0.63	504	-25
"YGL055W"	0.5	262	10
"YGL054C"	0.52	272	50
"YGL053W"	0.67	202	50
"YGL050W"	0.68	484	-21
"YGL049C"	0.82	314	50
"YGL048C"	0.84	262	50
"YGL047W"	0.67	460	-16
"YGL045W"	0.76	220	50
"YGL044C"	0.88	283	48
"YGL043W"	0.85	283	50
"YGL040C"	0.82	350	41
"YGL039W"	0.55	493	-13
"YGL038C"	0.76	344	50
"YGL037C"	0.55	554	-12
"YGL035C"	0.94	405	27
"YGL032C"	0.92	330	23
"YGL031C"	0.68	497	-43
"YGL030W"	0.7	438	-50
"YGL029W"	0.78	259	50
"YGL028C"	0.82	279	47
"YGL027C"	0.7	453	-15
"YGL026C"	0.74	291	50
"YGL025C"	0.6	226	50
"YGL023C"	0.84	288	50
"YGL022W"	0.86	287	45
"YGL021W"	0.78	281	50
"YGL020C"	0.6	428	-3
"YGL019W"	0.6	235	50
"YGL018C"	0.5	423	-8
"YGL017W"	0.65	441	-11
"YGL016W"	0.56	258	50
"YGL014W"	0.78	279	50
"YGL013C"	0.91	429	-21
"YGL012W"	0.9	425	-23
"YGL011C"	0.76	290	50
"YGL009C"	0.88	330	12
"YGL006W"	0.79	371	16
"YGL005C"	0.62	275	50
"YGL004C"	0.7	251	50
"YGL003C"	0.9	304	48
"YGL002W"	0.82	306	50
"YGL001C"	0.8	248	50
"YGR002C"	0.59	267	50
"YGR003W"	0.71	282	45
"YGR004W"	0.81	269	50
"YGR005C"	0.65	259	50
"YGR006W"	0.73	245	50
"YGR007W"	0.76	292	50
"YGR008C"	0.51	369	16
"YGR009C"	0.73	463	-16
"YGR010W"	0.61	197	50
"YGR012W"	0.86	277	48
"YGR013W"	0.7	263	50
"YGR014W"	0.96	432	4
"YGR019W"	0.82	309	50
"YGR020C"	0.9	309	35
"YGR023W"	0.77	272	50
"YGR024C"	0.89	306	50
"YGR027C"	0.84	374	22
"YGR028W"	0.57	511	-41
"YGR029W"	0.55	422	6
"YGR030C"	0.74	492	-12
"YGR031C-A"	0.78	433	-30
"YGR032W"	0.47	470	-3
"YGR033C"	0.9	348	37
"YGR034W"	0.95	390	-13
"YGR036C"	0.89	280	50
"YGR037C"	0.79	293	50
"YGR038W"	0.6	236	50
"YGR040W"	0.56	1	4
"YGR041W"	0.88	410	22
"YGR043C"	0.98	385	19
"YGR044C"	0.69	460	-30
"YGR046W"	0.83	313	50
"YGR047C"	0.88	372	13
"YGR048W"	0.86	372	42
"YGR049W"	0.91	286	22
"YGR054W"	0.83	332	40
"YGR055W"	0.55	504	-37
"YGR056W"	0.95	306	10
"YGR057C"	0.72	479	-14
"YGR058W"	0.66	373	5
"YGR059W"	0.8	277	50
"YGR060W"	0.52	1	-11
"YGR061C"	0.78	289	50
